Cell type	PC	Clinical parameter	Effect size	Standard error	Pvalue	FDR
Naive CD4	PC1	InactivevsHC	1.2	0.15	1.1e-11	1.8e-08
Naive CD4	PC1	LDAvsInactive	-0.15	0.22	0.5	0.92
Naive CD4	PC1	MDAvsInactive	0.17	0.24	0.48	0.92
Naive CD4	PC1	HDAvsInactive	0.57	0.25	0.026	0.44
Naive CD4	PC1	constitutional	0.23	0.26	0.38	0.88
Naive CD4	PC1	mucocutaneous	0.18	0.19	0.35	0.87
Naive CD4	PC1	musculoskeletal	0.049	0.2	0.81	0.99
Naive CD4	PC1	renal	0.0095	0.19	0.96	  1
Naive CD4	PC1	extrarenal	0.18	0.27	0.51	0.92
Naive CD4	PC1	hematological	0.053	0.24	0.83	0.99
Naive CD4	PC1	serological	0.3	0.16	0.066	0.59
Naive CD4	PC1	HCQ	0.14	0.16	0.38	0.88
Naive CD4	PC1	MMF	-0.17	0.19	0.35	0.87
Naive CD4	PC1	TAC	0.19	0.19	0.33	0.86
Naive CD4	PC2	InactivevsHC	0.047	0.23	0.84	0.99
Naive CD4	PC2	LDAvsInactive	0.065	0.27	0.81	0.99
Naive CD4	PC2	MDAvsInactive	0.64	0.33	0.059	0.57
Naive CD4	PC2	HDAvsInactive	0.6	0.29	0.044	0.53
Naive CD4	PC2	constitutional	-0.31	0.31	0.33	0.86
Naive CD4	PC2	mucocutaneous	0.0052	0.23	0.98	  1
Naive CD4	PC2	musculoskeletal	0.24	0.25	0.35	0.87
Naive CD4	PC2	renal	0.39	0.23	0.093	0.64
Naive CD4	PC2	extrarenal	0.19	0.33	0.57	0.94
Naive CD4	PC2	hematological	0.33	0.3	0.28	0.83
Naive CD4	PC2	serological	0.14	0.2	0.49	0.92
Naive CD4	PC2	HCQ	0.14	0.2	0.47	0.91
Naive CD4	PC2	MMF	0.18	0.22	0.43	0.9
Naive CD4	PC2	TAC	0.27	0.23	0.25	0.82
Naive CD4	PC3	InactivevsHC	0.33	0.2	0.091	0.64
Naive CD4	PC3	LDAvsInactive	0.52	0.23	0.025	0.43
Naive CD4	PC3	MDAvsInactive	0.48	0.26	0.072	0.6
Naive CD4	PC3	HDAvsInactive	0.75	0.23	0.0021	0.13
Naive CD4	PC3	constitutional	0.32	0.27	0.24	0.81
Naive CD4	PC3	mucocutaneous	0.37	0.2	0.066	0.59
Naive CD4	PC3	musculoskeletal	-0.046	0.22	0.83	0.99
