Parameter	Cell type	Variance explained	Lower 95percentile	Upper 95percentile	Pjk	Bonferonni-corrected Pjk
Overall disease activity	Naive CD4	0.044	0.041	0.048	  1	  1
Overall disease activity	Mem CD4	0.067	0.065	0.072	  0	  0
Overall disease activity	Th1	0.12	0.12	0.13	  0	  0
Overall disease activity	Th2	0.039	0.035	0.044	  1	  1
Overall disease activity	Th17	0.045	0.041	0.048	  1	  1
Overall disease activity	Tfh	0.06	0.056	0.064	0.8	  1
Overall disease activity	Fr. I nTreg	0.041	0.038	0.043	  1	  1
Overall disease activity	Fr. II eTreg	0.046	0.043	0.05	  1	  1
Overall disease activity	Fr. III T	0.046	0.044	0.048	  1	  1
Overall disease activity	Naive CD8	0.058	0.055	0.063	0.92	  1
Overall disease activity	CM CD8	0.041	0.037	0.048	  1	  1
Overall disease activity	EM CD8	0.11	0.1	0.11	  0	  0
Overall disease activity	TEMRA CD8	0.096	0.092	0.1	  0	  0
Overall disease activity	NK	0.09	0.086	0.096	  0	  0
Overall disease activity	Naive B	0.043	0.041	0.047	  1	  1
Overall disease activity	USM B	0.03	0.029	0.032	  1	  1
Overall disease activity	SM B	0.043	0.041	0.046	  1	  1
Overall disease activity	DN B	0.023	0.022	0.025	  1	  1
Overall disease activity	Plasmablast	0.097	0.093	0.1	  0	  0
Overall disease activity	CL Mono	0.17	0.16	0.17	  0	  0
Overall disease activity	CD16p Mono	0.16	0.15	0.16	  0	  0
Overall disease activity	Int Mono	0.094	0.09	0.098	  0	  0
Overall disease activity	NC Mono	0.092	0.088	0.099	  0	  0
Overall disease activity	mDC	0.069	0.065	0.074	  0	  0
Overall disease activity	pDC	0.061	0.057	0.065	0.51	  1
Overall disease activity	Neu	0.15	0.15	0.16	  0	  0
Overall disease activity	LDG	0.11	0.1	0.12	  0	  0
Constitutional	Naive CD4	0.014	0.012	0.018	0.95	  1
Constitutional	Mem CD4	0.022	0.019	0.024	0.0074	0.2
Constitutional	Th1	0.039	0.03	0.051	  0	  0
Constitutional	Th2	0.017	0.013	0.02	0.2	  1
Constitutional	Th17	0.014	0.0099	0.019	0.92	  1
Constitutional	Tfh	0.014	0.0092	0.018	0.93	  1
Constitutional	Fr. I nTreg	0.019	0.017	0.022	0.026	0.71
Constitutional	Fr. II eTreg	0.013	0.01	0.016	0.98	  1
Constitutional	Fr. III T	0.024	0.018	0.029	0.017	0.45
Constitutional	Naive CD8	0.017	0.016	0.02	0.39	  1
Constitutional	CM CD8	0.01	0.0086	0.013	  1	  1
Constitutional	EM CD8	0.0027	0.002	0.0063	  1	  1
Constitutional	TEMRA CD8	0.018	0.014	0.023	0.19	  1
Constitutional	NK	0.053	0.046	0.059	  0	  0
Constitutional	Naive B	0.0084	0.0065	0.012	0.99	  1
Constitutional	USM B	0.0027	0.0017	0.0085	  1	  1
Constitutional	SM B	0.012	0.0091	0.015	0.99	  1
Constitutional	DN B	0.0058	0.0045	0.0076	  1	  1
Constitutional	Plasmablast	2.1e-08	1.8e-12	0.0037	  1	  1
Constitutional	CL Mono	0.031	0.026	0.036	  0	  0
Constitutional	CD16p Mono	0.021	0.017	0.025	0.015	0.4
Constitutional	Int Mono	0.034	0.031	0.038	  0	  0
Constitutional	NC Mono	0.014	0.0097	0.018	0.94	  1
Constitutional	mDC	0.024	0.02	0.03	  0	  0
Constitutional	pDC	0.034	0.03	0.039	  0	  0
Constitutional	Neu	0.027	0.024	0.034	  0	  0
Constitutional	LDG	0.013	0.0088	0.016	0.98	  1
Mucocutaneous	Naive CD4	0.02	0.017	0.022	0.96	  1
Mucocutaneous	Mem CD4	0.022	0.02	0.024	0.56	  1
Mucocutaneous	Th1	0.052	0.045	0.058	  0	  0
Mucocutaneous	Th2	0.022	0.019	0.025	0.59	  1
Mucocutaneous	Th17	0.023	0.021	0.028	0.15	  1
Mucocutaneous	Tfh	0.029	0.025	0.034	  0	  0
Mucocutaneous	Fr. I nTreg	0.018	0.015	0.021	0.99	  1
Mucocutaneous	Fr. II eTreg	0.015	0.013	0.018	  1	  1
Mucocutaneous	Fr. III T	0.0073	0.0054	0.0099	  1	  1
Mucocutaneous	Naive CD8	0.026	0.023	0.029	0.015	0.4
Mucocutaneous	CM CD8	0.025	0.021	0.032	0.077	  1
Mucocutaneous	EM CD8	0.037	0.032	0.043	  0	  0
Mucocutaneous	TEMRA CD8	0.032	0.029	0.036	  0	  0
Mucocutaneous	NK	0.023	0.02	0.026	0.24	  1
Mucocutaneous	Naive B	0.009	0.0059	0.012	  1	  1
Mucocutaneous	USM B	0.01	0.0071	0.015	  1	  1
Mucocutaneous	SM B	0.014	0.012	0.016	  1	  1
Mucocutaneous	DN B	0.0071	0.0059	0.0087	  1	  1
Mucocutaneous	Plasmablast	0.021	0.017	0.024	0.82	  1
Mucocutaneous	CL Mono	0.021	0.018	0.026	0.71	  1
Mucocutaneous	CD16p Mono	0.035	0.031	0.041	  0	  0
Mucocutaneous	Int Mono	0.023	0.02	0.027	0.15	  1
Mucocutaneous	NC Mono	0.046	0.04	0.053	  0	  0
Mucocutaneous	mDC	0.012	0.0093	0.019	  1	  1
Mucocutaneous	pDC	0.016	0.013	0.019	0.99	  1
Mucocutaneous	Neu	0.032	0.027	0.037	  0	  0
Mucocutaneous	LDG	0.017	0.013	0.022	0.97	  1
Musculoskeletal	Naive CD4	0.013	0.013	0.014	  1	  1
Musculoskeletal	Mem CD4	0.011	0.0096	0.013	  1	  1
Musculoskeletal	Th1	0.023	0.018	0.028	0.44	  1
Musculoskeletal	Th2	0.011	0.01	0.012	  1	  1
Musculoskeletal	Th17	0.011	0.0098	0.014	  1	  1
Musculoskeletal	Tfh	0.017	0.016	0.021	0.99	  1
Musculoskeletal	Fr. I nTreg	0.016	0.013	0.018	  1	  1
Musculoskeletal	Fr. II eTreg	0.0081	0.0065	0.0095	  1	  1
Musculoskeletal	Fr. III T	0.013	0.01	0.016	0.99	  1
Musculoskeletal	Naive CD8	0.018	0.015	0.02	  1	  1
Musculoskeletal	CM CD8	0.0075	0.0062	0.0095	  1	  1
Musculoskeletal	EM CD8	0.045	0.039	0.053	  0	  0
