Response	Database	Cell type	Annotation	Pvalue	FDR
Good	HALLMARK	Naive B	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.00072	0.035
Good	HALLMARK	Naive B	HALLMARK_COMPLEMENT	0.012	0.21
Good	HALLMARK	Naive B	HALLMARK_IL2_STAT5_SIGNALING	0.013	0.21
Good	HALLMARK	Naive B	HALLMARK_APOPTOSIS	0.035	0.37
Good	HALLMARK	Naive B	HALLMARK_ALLOGRAFT_REJECTION	0.044	0.37
Good	HALLMARK	Naive B	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.049	0.37
Good	HALLMARK	USM B	HALLMARK_MTORC1_SIGNALING	0.0067	0.33
Good	HALLMARK	USM B	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.022	0.54
Good	HALLMARK	USM B	HALLMARK_IL2_STAT5_SIGNALING	0.035	0.57
Good	HALLMARK	SM B	HALLMARK_INTERFERON_GAMMA_RESPONSE	8.2e-06	0.00039
Good	HALLMARK	SM B	HALLMARK_ALLOGRAFT_REJECTION	0.00017	0.004
Good	HALLMARK	SM B	HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.00085	0.014
Good	HALLMARK	SM B	HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.0019	0.023
Good	HALLMARK	SM B	HALLMARK_IL2_STAT5_SIGNALING	0.0031	0.029
Good	HALLMARK	SM B	HALLMARK_MTORC1_SIGNALING	0.02	0.16
Good	HALLMARK	SM B	HALLMARK_HYPOXIA	0.034	0.24
Good	HALLMARK	DN B	HALLMARK_TNFA_SIGNALING_VIA_NFKB	2.5e-08	1.1e-06
Good	HALLMARK	DN B	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.002	0.046
Good	HALLMARK	DN B	HALLMARK_KRAS_SIGNALING_UP	0.0038	0.059
Good	HALLMARK	DN B	HALLMARK_INFLAMMATORY_RESPONSE	0.022	0.26
Good	HALLMARK	DN B	HALLMARK_IL2_STAT5_SIGNALING	0.034	0.31
Good	HALLMARK	DN B	HALLMARK_BILE_ACID_METABOLISM	0.049	0.38
Good	KEGG	Naive B	Pathways in cancer	8.8e-08	2.7e-05
Good	KEGG	Naive B	Hepatocellular carcinoma	2.4e-05	0.0027
Good	KEGG	Naive B	MicroRNAs in cancer	2.6e-05	0.0027
Good	KEGG	Naive B	Gastric cancer	0.00026	0.02
Good	KEGG	Naive B	Small cell lung cancer	0.0015	0.094
Good	KEGG	Naive B	Longevity regulating pathway - multiple species	0.0029	0.13
Good	KEGG	Naive B	Breast cancer	0.0032	0.13
Good	KEGG	Naive B	Epstein-Barr virus infection	0.0036	0.13
Good	KEGG	Naive B	Wnt signaling pathway	0.0038	0.13
Good	KEGG	Naive B	Chemical carcinogenesis - receptor activation	0.0052	0.16
Good	KEGG	Naive B	PI3K-Akt signaling pathway	0.0065	0.17
Good	KEGG	Naive B	Non-small cell lung cancer	0.0065	0.17
Good	KEGG	Naive B	Measles	0.0071	0.17
Good	KEGG	Naive B	Basal cell carcinoma	0.0086	0.18
Good	KEGG	Naive B	JAK-STAT signaling pathway	0.0086	0.18
Good	KEGG	Naive B	Proteoglycans in cancer	0.011	0.2
Good	KEGG	Naive B	HIF-1 signaling pathway	0.011	0.2
Good	KEGG	Naive B	FoxO signaling pathway	0.013	0.22
Good	KEGG	Naive B	Human T-cell leukemia virus 1 infection	0.013	0.22
Good	KEGG	Naive B	NF-kappa B signaling pathway	0.017	0.26
Good	KEGG	Naive B	Glycerolipid metabolism	0.018	0.26
Good	KEGG	Naive B	Purine metabolism	0.021	0.26
Good	KEGG	Naive B	Porphyrin metabolism	0.021	0.26
Good	KEGG	Naive B	Melanogenesis	0.022	0.26
Good	KEGG	Naive B	One carbon pool by folate	0.022	0.26
Good	KEGG	Naive B	Glycolysis / Gluconeogenesis	0.022	0.26
Good	KEGG	Naive B	B cell receptor signaling pathway	0.025	0.29
Good	KEGG	Naive B	Biosynthesis of cofactors	0.028	0.29
Good	KEGG	Naive B	Insulin resistance	0.028	0.29
Good	KEGG	Naive B	Focal adhesion	0.028	0.29
Good	KEGG	Naive B	Tryptophan metabolism	0.03	0.29
Good	KEGG	Naive B	Metabolism of xenobiotics by cytochrome P450	0.03	0.29
Good	KEGG	Naive B	MAPK signaling pathway	0.032	0.3
Good	KEGG	Naive B	Thyroid cancer	0.034	0.3
Good	KEGG	Naive B	Intestinal immune network for IgA production	0.035	0.3
Good	KEGG	Naive B	Glyoxylate and dicarboxylate metabolism	0.035	0.3
Good	KEGG	Naive B	Bladder cancer	0.038	0.31
Good	KEGG	Naive B	Protein digestion and absorption	0.039	0.31
Good	KEGG	Naive B	Human papillomavirus infection	0.04	0.31
Good	KEGG	Naive B	Chronic myeloid leukemia	0.041	0.31
Good	KEGG	Naive B	Drug metabolism - cytochrome P450	0.041	0.31
Good	KEGG	Naive B	Cushing syndrome	0.043	0.31
Good	KEGG	Naive B	Pyruvate metabolism	0.044	0.31
Good	KEGG	Naive B	Transcriptional misregulation in cancer	0.047	0.33
Good	KEGG	USM B	Glycolysis / Gluconeogenesis	7.4e-07	0.00023
Good	KEGG	USM B	Carbon metabolism	6e-06	0.00094
Good	KEGG	USM B	Biosynthesis of amino acids	2.1e-05	0.0022
Good	KEGG	USM B	Valine, leucine and isoleucine degradation	0.0015	0.093
Good	KEGG	USM B	Measles	0.0017	0.093
Good	KEGG	USM B	Glyoxylate and dicarboxylate metabolism	0.0018	0.093
Good	KEGG	USM B	NOD-like receptor signaling pathway	0.0039	0.14
Good	KEGG	USM B	Epstein-Barr virus infection	0.0044	0.14
Good	KEGG	USM B	Protein processing in endoplasmic reticulum	0.0045	0.14
Good	KEGG	USM B	Legionellosis	0.0047	0.14
Good	KEGG	USM B	Pentose phosphate pathway	0.0055	0.14
Good	KEGG	USM B	Central carbon metabolism in cancer	0.0056	0.14
Good	KEGG	USM B	C-type lectin receptor signaling pathway	0.0059	0.14
Good	KEGG	USM B	Renin-angiotensin system	0.0063	0.14
Good	KEGG	USM B	Tuberculosis	0.0067	0.14
Good	KEGG	USM B	Fatty acid degradation	0.011	0.21
Good	KEGG	USM B	Epithelial cell signaling in Helicobacter pylori infection	0.012	0.21
Good	KEGG	USM B	beta-Alanine metabolism	0.012	0.21
Good	KEGG	USM B	Propanoate metabolism	0.015	0.25
Good	KEGG	USM B	Tryptophan metabolism	0.02	0.3
Good	KEGG	USM B	Pyruvate metabolism	0.02	0.3
Good	KEGG	USM B	TNF signaling pathway	0.024	0.34
Good	KEGG	USM B	Hepatitis B	0.026	0.34
Good	KEGG	USM B	Toxoplasmosis	0.026	0.34
Good	KEGG	USM B	Influenza A	0.027	0.34
Good	KEGG	USM B	Pertussis	0.028	0.34
Good	KEGG	USM B	Necroptosis	0.031	0.36
Good	KEGG	USM B	Various types of N-glycan biosynthesis	0.033	0.36
Good	KEGG	USM B	Toll-like receptor signaling pathway	0.034	0.36
Good	KEGG	USM B	Apoptosis	0.037	0.36
