Agent	Database	Cell type	Annotation	Pvalue	FDR
MMF	HALLMARK	Th1	HALLMARK_E2F_TARGETS	6e-57	2.8e-55
MMF	HALLMARK	Th1	HALLMARK_G2M_CHECKPOINT	2.7e-35	6.4e-34
MMF	HALLMARK	Th1	HALLMARK_MYC_TARGETS_V1	1.8e-09	2.8e-08
MMF	HALLMARK	Th1	HALLMARK_MTORC1_SIGNALING	1.6e-07	1.9e-06
MMF	HALLMARK	Th1	HALLMARK_SPERMATOGENESIS	0.0026	0.024
MMF	HALLMARK	Th1	HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.0037	0.029
MMF	HALLMARK	Th1	HALLMARK_MYC_TARGETS_V2	0.017	0.12
MMF	HALLMARK	Th1	HALLMARK_MITOTIC_SPINDLE	0.036	0.21
MMF	HALLMARK	CM CD8	HALLMARK_E2F_TARGETS	2.2e-35	1e-33
MMF	HALLMARK	CM CD8	HALLMARK_OXIDATIVE_PHOSPHORYLATION	4.7e-34	1.1e-32
MMF	HALLMARK	CM CD8	HALLMARK_MYC_TARGETS_V1	1.1e-27	1.6e-26
MMF	HALLMARK	CM CD8	HALLMARK_G2M_CHECKPOINT	2.2e-19	2.6e-18
MMF	HALLMARK	CM CD8	HALLMARK_MTORC1_SIGNALING	4.3e-05	0.0004
MMF	HALLMARK	CM CD8	HALLMARK_SPERMATOGENESIS	0.0079	0.061
MMF	HALLMARK	CM CD8	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.011	0.071
MMF	HALLMARK	CM CD8	HALLMARK_ADIPOGENESIS	0.032	0.18
MMF	HALLMARK	Plasmablast	HALLMARK_OXIDATIVE_PHOSPHORYLATION	3.8e-16	1.9e-14
MMF	HALLMARK	Plasmablast	HALLMARK_E2F_TARGETS	9.8e-10	2.5e-08
MMF	HALLMARK	Plasmablast	HALLMARK_G2M_CHECKPOINT	3.1e-08	5.1e-07
MMF	HALLMARK	Plasmablast	HALLMARK_MTORC1_SIGNALING	7.8e-07	9.7e-06
MMF	HALLMARK	Plasmablast	HALLMARK_MYC_TARGETS_V1	0.00015	0.0015
MMF	HALLMARK	Plasmablast	HALLMARK_IL2_STAT5_SIGNALING	0.015	0.13
MMF	HALLMARK	Plasmablast	HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.027	0.19
MMF	HALLMARK	Plasmablast	HALLMARK_P53_PATHWAY	0.035	0.21
MMF	HALLMARK	Plasmablast	HALLMARK_ADIPOGENESIS	0.038	0.21
MMF	KEGG	Th1	Cell cycle	1.5e-14	4.5e-12
MMF	KEGG	Th1	DNA replication	5.1e-13	7.9e-11
MMF	KEGG	Th1	Homologous recombination	2.5e-07	2.6e-05
MMF	KEGG	Th1	Fanconi anemia pathway	6.8e-07	5.3e-05
MMF	KEGG	Th1	Mismatch repair	1.4e-06	8.6e-05
MMF	KEGG	Th1	Proteasome	2.6e-06	0.00014
MMF	KEGG	Th1	Parkinson disease	2e-05	0.00088
MMF	KEGG	Th1	Amyotrophic lateral sclerosis	8.9e-05	0.0035
MMF	KEGG	Th1	Huntington disease	0.00022	0.0076
MMF	KEGG	Th1	Oocyte meiosis	0.00026	0.0082
MMF	KEGG	Th1	Base excision repair	0.0011	0.031
MMF	KEGG	Th1	Prion disease	0.0014	0.037
MMF	KEGG	Th1	One carbon pool by folate	0.0023	0.056
MMF	KEGG	Th1	p53 signaling pathway	0.0026	0.059
MMF	KEGG	Th1	Biosynthesis of amino acids	0.0037	0.076
MMF	KEGG	Th1	Systemic lupus erythematosus	0.0062	0.11
MMF	KEGG	Th1	Spinocerebellar ataxia	0.0063	0.11
MMF	KEGG	Th1	Cellular senescence	0.0063	0.11
MMF	KEGG	Th1	Lysine degradation	0.007	0.12
MMF	KEGG	Th1	Carbon metabolism	0.0075	0.12
MMF	KEGG	Th1	Alcoholism	0.0094	0.14
MMF	KEGG	Th1	Nucleotide excision repair	0.0096	0.14
MMF	KEGG	Th1	Tight junction	0.011	0.15
MMF	KEGG	Th1	Cysteine and methionine metabolism	0.011	0.15
MMF	KEGG	Th1	Spliceosome	0.015	0.18
MMF	KEGG	Th1	Glycine, serine and threonine metabolism	0.015	0.18
MMF	KEGG	Th1	Progesterone-mediated oocyte maturation	0.016	0.19
MMF	KEGG	Th1	Glutathione metabolism	0.019	0.2
MMF	KEGG	Th1	Platinum drug resistance	0.019	0.2
MMF	KEGG	Th1	Pathways of neurodegeneration - multiple diseases	0.02	0.2
MMF	KEGG	Th1	Epstein-Barr virus infection	0.021	0.21
MMF	KEGG	Th1	Biosynthesis of cofactors	0.024	0.24
MMF	KEGG	Th1	Drug metabolism - other enzymes	0.025	0.24
MMF	KEGG	Th1	Alzheimer disease	0.029	0.26
MMF	KEGG	Th1	Glyoxylate and dicarboxylate metabolism	0.034	0.3
MMF	KEGG	Th1	Selenocompound metabolism	0.035	0.3
MMF	KEGG	Th1	Neutrophil extracellular trap formation	0.041	0.34
MMF	KEGG	Th1	Human T-cell leukemia virus 1 infection	0.042	0.35
MMF	KEGG	Th1	Metabolic pathways	0.046	0.36
MMF	KEGG	Th1	Pyrimidine metabolism	0.048	0.36
MMF	KEGG	Th1	Human immunodeficiency virus 1 infection	0.048	0.36
MMF	KEGG	Th1	Citrate cycle (TCA cycle)	0.048	0.36
MMF	KEGG	CM CD8	Parkinson disease	2.5e-44	7.1e-42
MMF	KEGG	CM CD8	Huntington disease	3.3e-42	4.7e-40
MMF	KEGG	CM CD8	Prion disease	2.2e-40	2.1e-38
MMF	KEGG	CM CD8	Oxidative phosphorylation	2.4e-37	1.7e-35
MMF	KEGG	CM CD8	Alzheimer disease	3.6e-35	2e-33
MMF	KEGG	CM CD8	Amyotrophic lateral sclerosis	5.5e-34	2.6e-32
MMF	KEGG	CM CD8	Pathways of neurodegeneration - multiple diseases	2.2e-28	9.1e-27
MMF	KEGG	CM CD8	Diabetic cardiomyopathy	6.1e-27	2.2e-25
MMF	KEGG	CM CD8	Chemical carcinogenesis - reactive oxygen species	2.9e-22	9.1e-21
MMF	KEGG	CM CD8	Thermogenesis	6.6e-22	1.9e-20
MMF	KEGG	CM CD8	Non-alcoholic fatty liver disease	3.9e-20	1e-18
MMF	KEGG	CM CD8	Proteasome	1.2e-18	2.9e-17
MMF	KEGG	CM CD8	Spinocerebellar ataxia	2.3e-10	5.1e-09
MMF	KEGG	CM CD8	Cell cycle	6.1e-10	1.2e-08
MMF	KEGG	CM CD8	Metabolic pathways	9.4e-10	1.8e-08
MMF	KEGG	CM CD8	Cardiac muscle contraction	2.6e-09	4.6e-08
MMF	KEGG	CM CD8	Retrograde endocannabinoid signaling	1.4e-08	2.3e-07
MMF	KEGG	CM CD8	DNA replication	4e-07	6.3e-06
MMF	KEGG	CM CD8	Fanconi anemia pathway	1.3e-05	0.00019
MMF	KEGG	CM CD8	Citrate cycle (TCA cycle)	4.2e-05	0.0006
MMF	KEGG	CM CD8	Cysteine and methionine metabolism	4.5e-05	0.00062
MMF	KEGG	CM CD8	Carbon metabolism	5e-05	0.00065
MMF	KEGG	CM CD8	Glutathione metabolism	0.0001	0.0013
MMF	KEGG	CM CD8	Mismatch repair	0.0002	0.0024
MMF	KEGG	CM CD8	Spliceosome	0.00039	0.0044
MMF	KEGG	CM CD8	One carbon pool by folate	0.00097	0.011
MMF	KEGG	CM CD8	Homologous recombination	0.001	0.011
MMF	KEGG	CM CD8	Ribosome	0.0021	0.021
MMF	KEGG	CM CD8	Oocyte meiosis	0.0039	0.039
