Signature	Cell type	Annotation	Pvalue	FDR
Disease-state	Naive CD4	HALLMARK_INTERFERON_GAMMA_RESPONSE	5.1e-25	2.5e-23
Disease-state	Naive CD4	HALLMARK_INTERFERON_ALPHA_RESPONSE	1.2e-23	3.1e-22
Disease-state	Naive CD4	HALLMARK_OXIDATIVE_PHOSPHORYLATION	4.4e-08	7.3e-07
Disease-state	Naive CD4	HALLMARK_ANDROGEN_RESPONSE	2.9e-06	3.6e-05
Disease-state	Naive CD4	HALLMARK_MYC_TARGETS_V1	0.00034	0.0034
Disease-state	Naive CD4	HALLMARK_MTORC1_SIGNALING	0.0039	0.032
Disease-state	Naive CD4	HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.0093	0.067
Disease-state	Naive CD4	HALLMARK_INFLAMMATORY_RESPONSE	0.016	0.097
Disease-state	Naive CD4	HALLMARK_APOPTOSIS	0.03	0.17
Disease-state	Naive CD4	HALLMARK_ALLOGRAFT_REJECTION	0.04	0.2
Disease-state	Mem CD4	HALLMARK_INTERFERON_ALPHA_RESPONSE	2.3e-23	1.2e-21
Disease-state	Mem CD4	HALLMARK_INTERFERON_GAMMA_RESPONSE	1e-22	2.5e-21
Disease-state	Mem CD4	HALLMARK_ALLOGRAFT_REJECTION	1.5e-05	0.00025
Disease-state	Mem CD4	HALLMARK_MTORC1_SIGNALING	2.2e-05	0.00027
Disease-state	Mem CD4	HALLMARK_OXIDATIVE_PHOSPHORYLATION	8.4e-05	0.00084
Disease-state	Mem CD4	HALLMARK_COMPLEMENT	0.006	0.05
Disease-state	Mem CD4	HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.016	0.11
Disease-state	Mem CD4	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.024	0.15
Disease-state	Mem CD4	HALLMARK_MYC_TARGETS_V1	0.031	0.16
Disease-state	Mem CD4	HALLMARK_P53_PATHWAY	0.033	0.16
Disease-state	Mem CD4	HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.037	0.16
Disease-state	Mem CD4	HALLMARK_ANDROGEN_RESPONSE	0.037	0.16
Disease-state	Mem CD4	HALLMARK_IL2_STAT5_SIGNALING	0.049	0.19
Disease-state	Th1	HALLMARK_E2F_TARGETS	2.6e-16	1.3e-14
Disease-state	Th1	HALLMARK_INTERFERON_ALPHA_RESPONSE	1.2e-14	2.9e-13
Disease-state	Th1	HALLMARK_INTERFERON_GAMMA_RESPONSE	1.3e-11	2.2e-10
Disease-state	Th1	HALLMARK_G2M_CHECKPOINT	9.5e-11	1.2e-09
Disease-state	Th1	HALLMARK_MTORC1_SIGNALING	1.6e-07	1.6e-06
Disease-state	Th1	HALLMARK_MYC_TARGETS_V1	2e-06	1.7e-05
Disease-state	Th1	HALLMARK_OXIDATIVE_PHOSPHORYLATION	1.3e-05	9.6e-05
Disease-state	Th1	HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.017	0.11
Disease-state	Th1	HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.021	0.11
Disease-state	Th2	HALLMARK_INTERFERON_GAMMA_RESPONSE	2.9e-31	1.4e-29
Disease-state	Th2	HALLMARK_INTERFERON_ALPHA_RESPONSE	9.9e-28	2.5e-26
Disease-state	Th2	HALLMARK_IL2_STAT5_SIGNALING	2.5e-06	4.1e-05
Disease-state	Th2	HALLMARK_INFLAMMATORY_RESPONSE	0.00022	0.0028
Disease-state	Th2	HALLMARK_ALLOGRAFT_REJECTION	0.00082	0.0082
Disease-state	Th2	HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.0015	0.011
Disease-state	Th2	HALLMARK_APOPTOSIS	0.0017	0.011
Disease-state	Th2	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.0017	0.011
Disease-state	Th2	HALLMARK_TGF_BETA_SIGNALING	0.01	0.057
Disease-state	Th2	HALLMARK_ANDROGEN_RESPONSE	0.013	0.063
Disease-state	Th2	HALLMARK_ESTROGEN_RESPONSE_LATE	0.017	0.078
Disease-state	Th2	HALLMARK_MYC_TARGETS_V1	0.021	0.086
Disease-state	Th2	HALLMARK_MTORC1_SIGNALING	0.037	0.14
Disease-state	Th17	HALLMARK_INTERFERON_ALPHA_RESPONSE	6.4e-44	3.1e-42
Disease-state	Th17	HALLMARK_INTERFERON_GAMMA_RESPONSE	1.1e-40	2.6e-39
Disease-state	Th17	HALLMARK_INFLAMMATORY_RESPONSE	1.6e-06	2.5e-05
Disease-state	Th17	HALLMARK_IL6_JAK_STAT3_SIGNALING	7.7e-06	9.2e-05
Disease-state	Th17	HALLMARK_TNFA_SIGNALING_VIA_NFKB	2.2e-05	0.00021
Disease-state	Th17	HALLMARK_APOPTOSIS	0.0014	0.011
Disease-state	Th17	HALLMARK_ALLOGRAFT_REJECTION	0.0015	0.011
Disease-state	Th17	HALLMARK_IL2_STAT5_SIGNALING	0.0029	0.016
Disease-state	Th17	HALLMARK_P53_PATHWAY	0.0029	0.016
Disease-state	Th17	HALLMARK_HYPOXIA	0.024	0.12
Disease-state	Tfh	HALLMARK_INTERFERON_GAMMA_RESPONSE	2.1e-33	1.1e-31
Disease-state	Tfh	HALLMARK_INTERFERON_ALPHA_RESPONSE	1.1e-30	2.8e-29
