Signature	Cell type	Annotation	Pvalue	FDR
Disease-state	Naive CD4	Parkinson disease	1.3e-19	4.2e-17
Disease-state	Naive CD4	Oxidative phosphorylation	2.9e-15	4.7e-13
Disease-state	Naive CD4	Prion disease	5.8e-14	5.4e-12
Disease-state	Naive CD4	Pathways of neurodegeneration - multiple diseases	7.3e-14	5.4e-12
Disease-state	Naive CD4	Amyotrophic lateral sclerosis	8.4e-14	5.4e-12
Disease-state	Naive CD4	Alzheimer disease	5.1e-13	2.8e-11
Disease-state	Naive CD4	Proteasome	6.3e-13	2.9e-11
Disease-state	Naive CD4	Huntington disease	2.1e-11	8.3e-10
Disease-state	Naive CD4	Diabetic cardiomyopathy	2.8e-11	1e-09
Disease-state	Naive CD4	Chemical carcinogenesis - reactive oxygen species	4e-09	1.3e-07
Disease-state	Naive CD4	Non-alcoholic fatty liver disease	1e-08	3e-07
Disease-state	Naive CD4	Influenza A	2.2e-07	5.9e-06
Disease-state	Naive CD4	Thermogenesis	1.2e-06	2.9e-05
Disease-state	Naive CD4	Measles	3e-06	7e-05
Disease-state	Naive CD4	Epstein-Barr virus infection	4.5e-06	9.7e-05
Disease-state	Naive CD4	Herpes simplex virus 1 infection	6.6e-06	0.00013
Disease-state	Naive CD4	Hepatitis C	7.6e-06	0.00014
Disease-state	Naive CD4	Shigellosis	3.7e-05	0.00066
Disease-state	Naive CD4	Salmonella infection	0.00011	0.0018
Disease-state	Naive CD4	Pathogenic Escherichia coli infection	0.00011	0.0018
Disease-state	Naive CD4	Necroptosis	0.00015	0.0023
Disease-state	Naive CD4	Human immunodeficiency virus 1 infection	0.00018	0.0026
Disease-state	Naive CD4	Yersinia infection	0.00035	0.0049
Disease-state	Naive CD4	Cardiac muscle contraction	0.00037	0.0049
Disease-state	Naive CD4	Regulation of actin cytoskeleton	0.00078	0.01
Disease-state	Naive CD4	Spinocerebellar ataxia	0.0013	0.016
Disease-state	Naive CD4	Human cytomegalovirus infection	0.002	0.023
Disease-state	Naive CD4	Cytosolic DNA-sensing pathway	0.0029	0.034
Disease-state	Naive CD4	NOD-like receptor signaling pathway	0.0032	0.035
Disease-state	Naive CD4	Apoptosis	0.0035	0.038
Disease-state	Naive CD4	TNF signaling pathway	0.0042	0.044
Disease-state	Naive CD4	Protein processing in endoplasmic reticulum	0.0057	0.058
Disease-state	Naive CD4	Viral carcinogenesis	0.0061	0.059
Disease-state	Naive CD4	Retrograde endocannabinoid signaling	0.0072	0.069
Disease-state	Naive CD4	JAK-STAT signaling pathway	0.0083	0.075
Disease-state	Naive CD4	RIG-I-like receptor signaling pathway	0.0083	0.075
Disease-state	Naive CD4	Kaposi sarcoma-associated herpesvirus infection	0.0097	0.084
Disease-state	Naive CD4	Leukocyte transendothelial migration	0.01	0.084
Disease-state	Naive CD4	Neurotrophin signaling pathway	0.011	0.091
Disease-state	Naive CD4	Human T-cell leukemia virus 1 infection	0.012	0.1
Disease-state	Naive CD4	HIF-1 signaling pathway	0.013	0.1
Disease-state	Naive CD4	Bacterial invasion of epithelial cells	0.015	0.12
Disease-state	Naive CD4	Prolactin signaling pathway	0.02	0.15
Disease-state	Naive CD4	Glutathione metabolism	0.022	0.16
Disease-state	Naive CD4	Chemokine signaling pathway	0.022	0.16
Disease-state	Naive CD4	Antigen processing and presentation	0.027	0.19
Disease-state	Naive CD4	Pertussis	0.03	0.21
Disease-state	Naive CD4	Protein export	0.034	0.23
Disease-state	Naive CD4	Lipid and atherosclerosis	0.036	0.24
Disease-state	Naive CD4	Cocaine addiction	0.04	0.26
Disease-state	Naive CD4	PI3K-Akt signaling pathway	0.044	0.28
Disease-state	Naive CD4	Vibrio cholerae infection	0.047	0.28
Disease-state	Naive CD4	Fc gamma R-mediated phagocytosis	0.047	0.28
Disease-state	Naive CD4	NF-kappa B signaling pathway	0.047	0.28
Disease-state	Naive CD4	Pathways in cancer	0.049	0.28
Disease-state	Naive CD4	Human papillomavirus infection	0.049	0.28
Disease-state	Mem CD4	Proteasome	3.1e-13	1e-10
Disease-state	Mem CD4	Parkinson disease	2.6e-11	4.2e-09
Disease-state	Mem CD4	Prion disease	1.1e-10	1.1e-08
Disease-state	Mem CD4	Epstein-Barr virus infection	2.6e-10	2.1e-08
