celltype_num	lineage_num	Freq	DEGtype
1	1	0.216765383349786	HDAvsInactive
2	1	0.0530602171767029	HDAvsInactive
3	1	0.0128331688055281	HDAvsInactive
4	1	0.00584073708456729	HDAvsInactive
5	1	0.000493583415597236	HDAvsInactive
6	1	0.000329055610398157	HDAvsInactive
7	1	8.22639025995393e-05	HDAvsInactive
8	1	0	HDAvsInactive
9	1	0	HDAvsInactive
10	1	0	HDAvsInactive
11	1	0	HDAvsInactive
12	1	0	HDAvsInactive
13	1	0	HDAvsInactive
14	1	0	HDAvsInactive
15	1	0	HDAvsInactive
16	1	0	HDAvsInactive
17	1	0	HDAvsInactive
18	1	0	HDAvsInactive
19	1	0	HDAvsInactive
20	1	0	HDAvsInactive
21	1	0	HDAvsInactive
22	1	0	HDAvsInactive
23	1	0	HDAvsInactive
24	1	0	HDAvsInactive
25	1	0	HDAvsInactive
26	1	0	HDAvsInactive
27	1	0	HDAvsInactive
1	2	0	HDAvsInactive
2	2	0.11788417242514	HDAvsInactive
3	2	0.0627673576834485	HDAvsInactive
4	2	0.0268180322474498	HDAvsInactive
5	2	0.0163705166173083	HDAvsInactive
6	2	0.00600526488976637	HDAvsInactive
7	2	0.0018920697597894	HDAvsInactive
8	2	0.000575847318196775	HDAvsInactive
9	2	0.000575847318196775	HDAvsInactive
10	2	0.000329055610398157	HDAvsInactive
11	2	8.22639025995393e-05	HDAvsInactive
12	2	0	HDAvsInactive
13	2	0	HDAvsInactive
14	2	0	HDAvsInactive
15	2	0	HDAvsInactive
16	2	0	HDAvsInactive
17	2	0	HDAvsInactive
18	2	0	HDAvsInactive
19	2	0	HDAvsInactive
20	2	0	HDAvsInactive
21	2	0	HDAvsInactive
22	2	0	HDAvsInactive
23	2	0	HDAvsInactive
24	2	0	HDAvsInactive
25	2	0	HDAvsInactive
26	2	0	HDAvsInactive
27	2	0	HDAvsInactive
1	3	0	HDAvsInactive
2	3	0	HDAvsInactive
3	3	0.0561862454754854	HDAvsInactive
4	3	0.0505923000987167	HDAvsInactive
5	3	0.033563672260612	HDAvsInactive
6	3	0.0223757815070747	HDAvsInactive
7	3	0.0124218492925304	HDAvsInactive
8	3	0.00641658440276407	HDAvsInactive
9	3	0.00411319512997697	HDAvsInactive
10	3	0.00180980585718987	HDAvsInactive
11	3	0.00115169463639355	HDAvsInactive
12	3	0.000575847318196775	HDAvsInactive
13	3	0.000246791707798618	HDAvsInactive
14	3	0.000164527805199079	HDAvsInactive
15	3	8.22639025995393e-05	HDAvsInactive
16	3	0	HDAvsInactive
17	3	0	HDAvsInactive
18	3	0	HDAvsInactive
19	3	0	HDAvsInactive
20	3	0	HDAvsInactive
21	3	0	HDAvsInactive
22	3	0	HDAvsInactive
23	3	0	HDAvsInactive
24	3	0	HDAvsInactive
25	3	0	HDAvsInactive
26	3	0	HDAvsInactive
27	3	0	HDAvsInactive
1	4	0	HDAvsInactive
2	4	0	HDAvsInactive
3	4	0	HDAvsInactive
4	4	0.0204837117472853	HDAvsInactive
5	4	0.0296972688384337	HDAvsInactive
6	4	0.0265712405396512	HDAvsInactive
7	4	0.0227871010200724	HDAvsInactive
8	4	0.0144784468575189	HDAvsInactive
9	4	0.0101184600197433	HDAvsInactive
10	4	0.00625205659756499	HDAvsInactive
11	4	0.00411319512997697	HDAvsInactive
12	4	0.00312602829878249	HDAvsInactive
13	4	0.00139848634419217	HDAvsInactive
14	4	0.00131622244159263	HDAvsInactive
15	4	0.000904902928594933	HDAvsInactive
16	4	0.000493583415597236	HDAvsInactive
17	4	0.000329055610398157	HDAvsInactive
18	4	0.000411319512997697	HDAvsInactive
19	4	8.22639025995393e-05	HDAvsInactive
20	4	0	HDAvsInactive
21	4	0	HDAvsInactive
22	4	0	HDAvsInactive
23	4	0	HDAvsInactive
24	4	0	HDAvsInactive
25	4	0	HDAvsInactive
26	4	0	HDAvsInactive
27	4	0	HDAvsInactive
1	5	0	HDAvsInactive
2	5	0	HDAvsInactive
3	5	0	HDAvsInactive
4	5	0	HDAvsInactive
