subset	state	activity	both	discordant	union	all	state_P	activity_P	jaccard	group	lineage
B04_Tfh	1215	1045	319	51	2579	2630	0.47111283443195	0.405195812330361	0.123691353237689	Disease-state dominant	CD4
D01_mDC	1267	1092	308	37	2667	2704	0.4750656167979	0.409448818897638	0.115485564304462	Disease-state dominant	DC
B02_Th2	1587	871	334	46	2792	2838	0.568409742120344	0.311962750716332	0.119627507163324	Disease-state dominant	CD4
C01_NCD8	2061	828	344	91	3233	3324	0.637488400866069	0.256108877203835	0.106402721930096	Disease-state dominant	CD8
B09_Fra1	1490	640	161	40	2291	2331	0.650371017023134	0.279353993889131	0.0702749890877346	Disease-state dominant	CD4
A02_SwiMB	2411	946	313	151	3670	3821	0.656948228882834	0.257765667574932	0.0852861035422343	Disease-state dominant	B
B05_NCD4	2214	639	245	75	3098	3173	0.714654615881214	0.206262104583602	0.079083279535184	Disease-state dominant	CD4
A01_NaiB	3367	851	273	292	4491	4783	0.749721665553329	0.189490091293699	0.0607882431529726	Disease-state dominant	B
B10_Fra3	2313	587	172	90	3072	3162	0.7529296875	0.191080729166667	0.0559895833333333	Disease-state dominant	CD4
A04_DNB	3498	601	242	67	4341	4408	0.805805114029026	0.138447362358903	0.0557475236120709	Disease-state dominant	B
A03_UnswMB	4778	630	317	146	5725	5871	0.834585152838428	0.110043668122271	0.0553711790393013	Disease-state dominant	B
B07_aTreg	832	919	199	33	1950	1983	0.426666666666667	0.471282051282051	0.102051282051282	Disease-activity dominant	CD4
D02_pDC	731	1264	321	25	2316	2341	0.315630397236615	0.545768566493955	0.13860103626943	Disease-activity dominant	DC
B06_MCD4	1575	2321	340	382	4236	4618	0.371813031161473	0.547922568460812	0.0802644003777148	Disease-activity dominant	CD4
B03_TH17	517	910	174	14	1601	1615	0.322923173016864	0.568394753279201	0.108682073703935	Disease-activity dominant	CD4
C04_CmCD8	606	1439	174	23	2219	2242	0.273095989184317	0.648490310950879	0.078413699864804	Disease-activity dominant	CD8
A05_PB	531	2770	287	68	3588	3656	0.147993311036789	0.772017837235229	0.0799888517279822	Disease-activity dominant	B
C03_EffectorCD8	412	2495	201	32	3108	3140	0.132561132561133	0.802767052767053	0.0646718146718147	Disease-activity dominant	CD8
G01_NK	2045	2200	768	147	5013	5160	0.407939357670058	0.438858966686615	0.153201675643327	Shared	NK
E03_NonClassical	563	1984	471	22	3018	3040	0.186547382372432	0.657388999337309	0.156063618290258	Shared	Monocyte
E04_Intermediate	575	1518	449	20	2542	2562	0.226199842643588	0.597167584579072	0.176632572777341	Shared	Monocyte
C05_EmCD8	1492	2983	981	103	5456	5559	0.273460410557185	0.546737536656892	0.179802052785924	Shared	CD8
E02_CD16nMo	1109	2439	801	73	4349	4422	0.255001149689584	0.560818578983674	0.184180271326742	Shared	Monocyte
E01_CD16pMo	923	2593	847	73	4363	4436	0.211551684620674	0.594315837726335	0.194132477652991	Shared	Monocyte
F02_LDG	1187	1504	692	46	3383	3429	0.350872007094295	0.44457582027786	0.204552172627845	Shared	Neutrophil
B01_Th1	998	3990	1615	115	6603	6718	0.151143419657731	0.604270786006361	0.244585794335908	Shared	CD4
F01_Neu	1404	2090	1278	53	4772	4825	0.294216261525566	0.437971500419111	0.267812238055323	Shared	Neutrophil
