subset1	B05_NCD4	B06_MCD4	B01_Th1	B02_Th2	B03_TH17	B04_Tfh	B09_Fra1	B07_aTreg	B10_Fra3	C01_NCD8	C04_CmCD8	C05_EmCD8	C03_EffectorCD8	G01_NK	A01_NaiB	A03_UnswMB	A02_SwiMB	A04_DNB	A05_PB	E02_CD16nMo	E01_CD16pMo	E04_Intermediate	E03_NonClassical	D01_mDC	D02_pDC	F01_Neu	F02_LDG
B05_NCD4	1	0.174518911745189	0.0876306033029997	0.280196198651134	0.293885601577909	0.309440559440559	0.337301587301587	0.206521739130435	0.277604976671851	0.399591558883594	0.179111531190926	0.110114942528736	0.142811399295549	0.132860938883968	0.199880311190904	0.172125883108542	0.188542825361513	0.201674808094906	0.0825229230341762	0.100996498788042	0.104693140794224	0.132612179487179	0.120013522650439	0.152791878172589	0.107560756075608	0.0741590214067278	0.0953571428571429
B06_MCD4	0.174518911745189	1	0.301372023340167	0.248788368336026	0.234498680738786	0.272928526249209	0.159677960415968	0.202995538559592	0.180531584397653	0.216010165184244	0.274164677804296	0.321621082052306	0.330101913994531	0.276042853886483	0.150567310640908	0.139232477006026	0.161145926589078	0.141595814257685	0.18816067653277	0.143680445151033	0.154858691444057	0.136523046092184	0.154587155963303	0.146195497292676	0.140608034744843	0.119854489756845	0.110929089632577
B01_Th1	0.0876306033029997	0.301372023340167	1	0.14300134589502	0.12940379403794	0.154191616766467	0.0877940675076713	0.126976118398924	0.0927072583419333	0.108411832754917	0.240330067044868	0.507406240151276	0.311283430922614	0.278737791134485	0.0814427941896524	0.0775876391427147	0.088587132234077	0.0802085084916765	0.229097232285176	0.142428376534789	0.165244480563457	0.104936402180497	0.147028461878779	0.106937340153453	0.135782747603834	0.131469283505848	0.0845008110898098
B02_Th2	0.280196198651134	0.248788368336026	0.14300134589502	1	0.406019656019656	0.382669537136706	0.258631512868801	0.319886363636364	0.315472203616879	0.264110756123536	0.247454625940682	0.15255751619388	0.17810704566072	0.15103734439834	0.195260175167439	0.192865105908584	0.213155291790307	0.199647680563711	0.111727416798732	0.123245725950498	0.13115157480315	0.155090040426314	0.148546144121365	0.168696436626071	0.145988420181969	0.0931526736027099	0.108232207281076
B03_TH17	0.293885601577909	0.234498680738786	0.12940379403794	0.406019656019656	1	0.381489841986456	0.290212183436003	0.292253521126761	0.360147601476015	0.276174306734578	0.260991580916745	0.165933811617681	0.200190657769304	0.163359217716422	0.199564980967917	0.205952380952381	0.221409921671018	0.22003804692454	0.106583917970858	0.123886851754845	0.134698003538034	0.165	0.160567095285196	0.178231939163498	0.149286023366508	0.0920595533498759	0.111794871794872
B04_Tfh	0.309440559440559	0.272928526249209	0.154191616766467	0.382669537136706	0.381489841986456	1	0.272192827748383	0.284679089026915	0.298470948012232	0.315352697095436	0.256648374841705	0.170893054024256	0.193985849056604	0.153331549371153	0.194992778045258	0.177402862985685	0.220821661998133	0.197604790419162	0.110969712395011	0.123206333498268	0.137665463297232	0.154602951510892	0.162611641515245	0.170430336599915	0.146828504306969	0.100544121126094	0.110340479192938
B09_Fra1	0.337301587301587	0.159677960415968	0.0877940675076713	0.258631512868801	0.290212183436003	0.272192827748383	1	0.216233354470514	0.288191577208918	0.2920759659463	0.206206206206206	0.113950762016413	0.14845292955892	0.138359067514381	0.188002473716759	0.17476383265857	0.182237600922722	0.204411764705882	0.0876141552511416	0.104814305364512	0.104270369400052	0.132262051915946	0.122357019064125	0.152310924369748	0.123818525519849	0.0713914849428868	0.0931426475980931
B07_aTreg	0.206521739130435	0.202995538559592	0.126976118398924	0.319886363636364	0.292253521126761	0.284679089026915	0.216233354470514	1	0.327439886845827	0.206223628691983	0.217565760142666	0.145729778581112	0.171076923076923	0.151455213337101	0.166666666666667	0.180149168100975	0.189162067235324	0.178205900060205	0.116404981050352	0.123540098624448	0.13371801304566	0.151049475262369	0.151328580686973	0.174380551659654	0.142917907273501	0.0961918892185954	0.110998307952623
B10_Fra3	0.277604976671851	0.180531584397653	0.0927072583419333	0.315472203616879	0.360147601476015	0.298470948012232	0.288191577208918	0.327439886845827	1	0.241800643086817	0.196167423096319	0.116895409370563	0.154745989304813	0.138447432762836	0.197326543602801	0.182197496522949	0.193950177935943	0.205882352941176	0.0944813637676972	0.106199610786767	0.109694555112882	0.138958858102435	0.129989403037796	0.164954029204976	0.129593810444874	0.0800105624504885	0.103344607290492
C01_NCD8	0.399591558883594	0.216010165184244	0.108411832754917	0.264110756123536	0.276174306734578	0.315352697095436	0.2920759659463	0.206223628691983	0.241800643086817	1	0.212015672616456	0.135879218472469	0.172738312082574	0.169030062393647	0.196344647519582	0.170271769273433	0.192610837438424	0.189461219656602	0.0957278481012658	0.117450526856849	0.114950980392157	0.140125045972784	0.133903133903134	0.152458276950834	0.122792607802875	0.0851167315175097	0.103801652892562
