subset1	B05_NCD4	B06_MCD4	B01_Th1	B02_Th2	B03_TH17	B04_Tfh	B09_Fra1	B07_aTreg	B10_Fra3	C01_NCD8	C04_CmCD8	C05_EmCD8	C03_EffectorCD8	G01_NK	A01_NaiB	A03_UnswMB	A02_SwiMB	A04_DNB	A05_PB	E02_CD16nMo	E01_CD16pMo	E04_Intermediate	E03_NonClassical	D01_mDC	D02_pDC	F01_Neu	F02_LDG
B05_NCD4	1	0.293455729937815	0.286839430894309	0.281030444964871	0.159601916697383	0.266031746031746	0.315722062119757	0.169127516778524	0.206513693560326	0.402886002886003	0.208582089552239	0.209950248756219	0.104542177361211	0.225814007964394	0.22821661237785	0.205202779124253	0.20280701754386	0.210120577189168	0.0821143617021277	0.141796978531672	0.114797966283115	0.0948604060913706	0.0999045497931912	0.169640245685873	0.114313160422671	0.0851958397875636	0.0957666494579246
B06_MCD4	0.293455729937815	1	0.362214199759326	0.323671497584541	0.177055103884372	0.315909958031286	0.212482946793997	0.17271639409653	0.149762282091918	0.251455180442375	0.184615384615385	0.264145496535797	0.127792672028597	0.213880288957688	0.193997390169639	0.180520142784294	0.202921231090245	0.198078975453575	0.0970600080547725	0.147620491057896	0.116978814860301	0.0950413223140496	0.116793893129771	0.1703130259172	0.112958065734794	0.0754122211445199	0.0875912408759124
B01_Th1	0.286839430894309	0.362214199759326	1	0.301350186727952	0.133104631217839	0.285891472868217	0.207375886524823	0.150728309056365	0.136610783869506	0.252634219769192	0.163636363636364	0.305634165165938	0.121866295264624	0.284966698382493	0.214692594775093	0.246121182426915	0.244778221074865	0.279918864097363	0.0967638577379045	0.143807574206755	0.114690721649485	0.0863005431502716	0.091238670694864	0.17587373167982	0.114172023262932	0.0798462852263023	0.0814613675635645
B02_Th2	0.281030444964871	0.323671497584541	0.301350186727952	1	0.22859830667921	0.380895283772982	0.210956107519564	0.195280716029292	0.176868905742145	0.254301545640128	0.220162748643761	0.201606203267793	0.122276567363273	0.185681760688085	0.153587208079108	0.152703604806409	0.17224635829287	0.164683782091421	0.0865231259968102	0.145054282267793	0.12743581812558	0.106020446800454	0.109973454683352	0.14753556070129	0.110355253212396	0.0807468477206596	0.0884413309982487
B03_TH17	0.159601916697383	0.177055103884372	0.133104631217839	0.22859830667921	1	0.242458100558659	0.166167664670659	0.18019257221458	0.135435327839484	0.151752423564504	0.278503046127067	0.115235065394132	0.166068222621185	0.0876755070202808	0.0735551663747811	0.0517336268574573	0.0846425136261622	0.0696033098077391	0.0860448300795372	0.0930626057529611	0.0868983957219251	0.109811565951917	0.110608020698577	0.0995121951219512	0.100190234622701	0.0665387076135637	0.0776410691557064
B04_Tfh	0.266031746031746	0.315909958031286	0.285891472868217	0.380895283772982	0.242458100558659	1	0.206608431447019	0.211647727272727	0.177915926583777	0.268969970939619	0.248112189859763	0.195665261890427	0.146223888591323	0.164817320703654	0.139347923179991	0.126874676779866	0.161797133406836	0.150409201504092	0.0996240601503759	0.126611570247934	0.120233596702164	0.114335971855761	0.115199299167762	0.141799333580156	0.116339869281046	0.0846336947897382	0.0921479558728099
B09_Fra1	0.315722062119757	0.212482946793997	0.207375886524823	0.210956107519564	0.166167664670659	0.206608431447019	1	0.228689275893676	0.270212111896711	0.2665625	0.255165289256198	0.144911192557091	0.110019646365422	0.185412770504943	0.177842565597668	0.15197934595525	0.165056360708535	0.15544490149383	0.100178890876565	0.117684478371501	0.111621799080762	0.0979338842975207	0.106860706860707	0.157534246575342	0.108955839867932	0.0687355732239036	0.0834375
B07_aTreg	0.169127516778524	0.17271639409653	0.150728309056365	0.195280716029292	0.18019257221458	0.211647727272727	0.228689275893676	1	0.238900634249471	0.165871934604905	0.212324179504354	0.108619032361423	0.118609406952965	0.132840236686391	0.119064834899976	0.0950405770964833	0.118389423076923	0.0940822931114193	0.113059250302297	0.110814927646611	0.10702875399361	0.106406080347448	0.122941822173436	0.130340017436792	0.106360235168359	0.0634874195435927	0.0838976674191121
B10_Fra3	0.206513693560326	0.149762282091918	0.136610783869506	0.176868905742145	0.135435327839484	0.177915926583777	0.270212111896711	0.238900634249471	1	0.195883957351847	0.167263610315186	0.0971547536433033	0.0765734265734266	0.140789473684211	0.151585014409222	0.143987587276959	0.118461538461538	0.117245199409158	0.0806982872200264	0.101847101077476	0.107407407407407	0.0836466165413534	0.086697965571205	0.117204899777283	0.0800618238021638	0.0718004338394794	0.0758725341426404
C01_NCD8	0.402886002886003	0.251455180442375	0.252634219769192	0.254301545640128	0.151752423564504	0.268969970939619	0.2665625	0.165871934604905	0.195883957351847	1	0.201132075471698	0.202804206309464	0.112879348630644	0.200372352804282	0.209415584415584	0.179881467243312	0.194117647058824	0.195853899308983	0.086616847826087	0.138963121325494	0.112101566720692	0.0957755562721703	0.0970654627539503	0.15287927506577	0.113097172570686	0.0906654756587762	0.102786540483701
C04_CmCD8	0.208582089552239	0.184615384615385	0.163636363636364	0.220162748643761	0.278503046127067	0.248112189859763	0.255165289256198	0.212324179504354	0.167263610315186	0.201132075471698	1	0.127607788595271	0.167086481947943	0.125353440150801	0.0971043434847728	0.0778885197489849	0.10863332271424	0.0927458617332035	0.0971074380165289	0.0955309553095531	0.101430429128739	0.106658446362515	0.11509900990099	0.135396518375242	0.117106069895769	0.0547774665421724	0.0717488789237668
