Description	pvalue	subset	type
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.000718899357827016	A01_NaiB	Good
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.0656510278869065	A01_NaiB	Good
HALLMARK_INTERFERON_GAMMA_RESPONSE	8.21664773427022e-06	A02_SwiMB	Good
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.000847067244128639	A02_SwiMB	Good
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.0219266264862256	A03_UnswMB	Good
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.31756161318889	A03_UnswMB	Good
HALLMARK_TNFA_SIGNALING_VIA_NFKB	2.47057662345827e-08	A04_DNB	Good
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.0020042154413517	A04_DNB	Good
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.0392066800179063	A01_NaiB	Poor
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.160278463571431	A01_NaiB	Poor
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.0124772608259123	A02_SwiMB	Poor
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.0714166475789554	A02_SwiMB	Poor
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.197268645337475	A03_UnswMB	Poor
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.444392403234646	A03_UnswMB	Poor
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.100245200066843	A04_DNB	Poor
Glycolysis / Gluconeogenesis	0.0221166028134861	A01_NaiB	Good
Glycolysis / Gluconeogenesis	7.41916857177965e-05	A02_SwiMB	Good
Glycolysis / Gluconeogenesis	7.36845367855699e-07	A03_UnswMB	Good
Glycolysis / Gluconeogenesis	1	A04_DNB	Good
Glycolysis / Gluconeogenesis	0.0596105806311558	A01_NaiB	Poor
Glycolysis / Gluconeogenesis	0.191381758993156	A02_SwiMB	Poor
Glycolysis / Gluconeogenesis	0.417203834592963	A03_UnswMB	Poor
Glycolysis / Gluconeogenesis	1	A04_DNB	Poor
