subset	MMF	activity	both	discordant	union	all	MMF_P	activity_P	jaccard
B05_NCD4	0	958	0	0	958	958	0	1	0
B06_MCD4	0	3038	0	0	3038	3038	0	1	0
B01_Th1	244	4806	892	3	5942	5945	0.0410636149444631	0.808818579602827	0.15011780545271
B02_Th2	0	1248	0	0	1248	1248	0	1	0
B03_TH17	0	1093	0	0	1093	1093	0	1	0
B04_Tfh	1	1413	0	0	1414	1414	0.000707213578500707	0.999292786421499	0
B09_Fra1	0	839	0	0	839	839	0	1	0
B07_aTreg	6	1150	0	0	1156	1156	0.00519031141868512	0.994809688581315	0
B10_Fra3	25	845	0	3	870	873	0.028735632183908	0.971264367816092	0
C01_NCD8	0	1262	0	0	1262	1262	0	1	0
C04_CmCD8	563	1301	332	0	2196	2196	0.256375227686703	0.592440801457195	0.151183970856102
C05_EmCD8	0	4051	0	0	4051	4051	0	1	0
C03_EffectorCD8	0	2718	0	0	2718	2718	0	1	0
G01_NK	0	3101	0	0	3101	3101	0	1	0
A01_NaiB	0	1411	0	0	1411	1411	0	1	0
A03_UnswMB	2	1091	0	0	1093	1093	0.00182982616651418	0.998170173833486	0
A02_SwiMB	0	1408	0	0	1408	1408	0	1	0
A04_DNB	0	905	0	0	905	905	0	1	0
A05_PB	1426	2077	969	72	4472	4544	0.318872987477639	0.464445438282648	0.216681574239714
E02_CD16nMo	0	3307	0	0	3307	3307	0	1	0
E01_CD16pMo	0	3504	0	0	3504	3504	0	1	0
E04_Intermediate	0	1982	0	0	1982	1982	0	1	0
E03_NonClassical	0	2468	0	0	2468	2468	0	1	0
D01_mDC	0	1434	0	0	1434	1434	0	1	0
D02_pDC	0	1603	0	0	1603	1603	0	1	0
F01_Neu	0	3396	0	0	3396	3396	0	1	0
F02_LDG	0	2234	0	0	2234	2234	0	1	0
