Description	subset	state_P	activity_P	state_logP	activity_logP
IRF1_01	B05_NCD4	2.3425261755421e-05	0.00640539555696469	4.63031554757787	2.19345404579398
PHF2_TARGET_GENES	B05_NCD4	2.66438708756141e-05	0.0691093457830368	4.5744026797346	1.16046321821844
ZNF318_TARGET_GENES	B05_NCD4	6.47877481956503e-05	5.37609036060448e-06	4.18850711440871	5.26953344032958
IRF2_01	B05_NCD4	0.000128138850185511	0.0289778139051901	3.89231917733439	1.53793438093261
NFE2L1_TARGET_GENES	B05_NCD4	0.000619318821754952	0.536210785108054	3.20808572112057	0.270664455056964
RYTTCCTG_ETS2_B	B05_NCD4	0.00194419261303217	0.0156242971692376	2.71126071130625	1.80619950949665
IRF7_01	B05_NCD4	0.00261207105890651	5.74918041171426e-08	2.58301501266832	7.24039406279556
BACH2_TARGET_GENES	B05_NCD4	0.003465726523873	0.260668789226542	2.46020570990217	0.583910965295537
TERF1_TARGET_GENES	B05_NCD4	0.00353392976501954	0.0328268892209281	2.45174208611606	1.48377027042922
HOXA2_TARGET_GENES	B05_NCD4	0.0040462891061408	0.102434884509343	2.39294309024638	0.989552117872844
ELF1_Q6	B05_NCD4	0.00461164283978723	0.465990352005204	2.33614433509719	0.331623074971539
HES2_TARGET_GENES	B05_NCD4	0.004798280824872	0.250502227885019	2.3189143380432	0.601188407306246
PSMB5_TARGET_GENES	B05_NCD4	0.00621801439195788	0.000166591546457395	2.20634827709169	3.77834704026449
ZNF84_TARGET_GENES	B05_NCD4	0.0126621860769937	0.530695547163979	1.89749130859864	0.275154556331846
PRDM4_TARGET_GENES	B05_NCD4	0.0194560256954054	0.0125974566076198	1.710945868838	1.89971712891216
TAF9B_TARGET_GENES	B05_NCD4	0.0404062069073813	0.00223756226480206	1.39355191660787	2.6502248707009
MORC2_TARGET_GENES	B05_NCD4	0.0458815300992328	0.242171704743852	1.33836210727964	0.615876601042147
SRF_Q5_01	B05_NCD4	0.0511295476961318	0.367228155124479	1.29132804912644	0.435064029141696
STAT5B_01	B05_NCD4	0.0548233469150889	0.018493075229223	1.26103445470705	1.73299086363636
AML1_01	B05_NCD4	0.059570186555205	0.150506240596855	1.22497103982445	0.822445492092809
NFRKB_TARGET_GENES	B05_NCD4	0.0819423676459008	0.487013200872265	1.08649149168024	0.312459266735508
GATTGGY_NFY_Q6_01	B05_NCD4	0.0950591068091177	0.563804226910577	1.02200627072392	0.248871672492338
IRF9_TARGET_GENES	B05_NCD4	0.102539193112613	0.390166846785348	0.989110104372882	0.408749636196977
TATA_01	B05_NCD4	0.122007296532283	2.26571751721272e-06	0.913614195973196	5.64479423761612
MAML1_TARGET_GENES	B05_NCD4	0.127843035171541	0.749724402638838	0.893322927152391	0.125098353154269
KAT5_TARGET_GENES	B05_NCD4	0.13421081627868	0.0758293867177154	0.872212482223267	1.12016245642527
BCL6B_TARGET_GENES	B05_NCD4	0.139400261378629	0.284259955708622	0.855736411925313	0.546284315967925
TFEB_TARGET_GENES	B05_NCD4	0.161271750776378	0.445298164467906	0.792441699296599	0.351349095039679
TGGAAA_NFAT_Q4_01	B05_NCD4	0.170836678570189	0.193845896274119	0.767418880775191	0.712543388592134
NAB2_TARGET_GENES	B05_NCD4	0.190993813387774	0.114504857319474	0.718980700056284	0.941176090072557
FOXE1_TARGET_GENES	B05_NCD4	0.199728330814997	0.00126072710335014	0.699560327498128	2.89937891052079
MAFG_TARGET_GENES	B05_NCD4	0.221537806290162	0.935767482096092	0.65455214907012	0.0288320506074025
STAT5A_01	B05_NCD4	0.278429363658507	0.220374243895588	0.555284965173598	0.656839164755184
ZFHX3_TARGET_GENES	B05_NCD4	0.3424957643241	0.000152849751814563	0.465344795097235	3.81573526211063
PPARGC1A_TARGET_GENES	B05_NCD4	0.427097265623006	0.109862467296302	0.369473209019538	0.959150651799852
NF1_Q6	B05_NCD4	0.488026061449831	0.874641335115232	0.311556985289017	0.0581700019645722
BARX2_TARGET_GENES	B05_NCD4	0.54128442476284	0.395940676589451	0.266574469374616	0.402369879124583
SNRNP70_TARGET_GENES	B05_NCD4	0.64902093177843	0.00148325583997747	0.187741296405677	2.82878393305287
SETD7_TARGET_GENES	B05_NCD4	0.835111850937976	0.237129238723063	0.0782553532685213	0.625014892950582
ASH1L_TARGET_GENES	B05_NCD4	0.905432553270558	0.566734216810648	0.0431438952487412	0.246620565859564
E2F5_TARGET_GENES	B05_NCD4	0.97461357251829	0.850523972837052	0.0111675449055191	0.070313440870789
HSD17B8_TARGET_GENES	B05_NCD4	0.990231577359722	0.961075905397475	0.00426322862620903	0.0172423105692874
SRF_Q5_01	B06_MCD4	4.48563220339625e-05	0.51162475228647	4.34817633899733	0.29104845261913
ZNF318_TARGET_GENES	B06_MCD4	5.07380484296038e-05	0.000723847870167347	4.29466624134279	3.14035269911941
PHF2_TARGET_GENES	B06_MCD4	5.12529531398264e-05	0.0274006866843864	4.29028110597209	1.56223855325615
RYTTCCTG_ETS2_B	B06_MCD4	5.50120631151439e-05	0.741310984995996	4.2595420674167	0.129999564308587
IRF7_01	B06_MCD4	0.000301857982340073	0.00176210218217929	3.52019733516446	2.75396891098078
MAML1_TARGET_GENES	B06_MCD4	0.000464963899020644	0.596645222405787	3.3325807655289	0.224283832608255
IRF1_01	B06_MCD4	0.000849485546905319	0.264017864847873	3.0708440057916	0.578366685469748
BACH2_TARGET_GENES	B06_MCD4	0.00182422644842265	0.028812931992424	2.73892125197463	1.54041254583827
TERF1_TARGET_GENES	B06_MCD4	0.00184934554533522	0.0940193681874331	2.73298193448089	1.02678267160802
NAB2_TARGET_GENES	B06_MCD4	0.002508099420519	0.024648430863453	2.6006552521607	1.60821072300073
PPARGC1A_TARGET_GENES	B06_MCD4	0.00278049630030375	0.528356768733226	2.55587767845392	0.277072724495614
IRF2_01	B06_MCD4	0.00294601468315815	0.119843195188102	2.53076509293172	0.921386620588678
STAT5B_01	B06_MCD4	0.00501758982663453	0.395299873652284	2.29950484388034	0.403073324468374
TATA_01	B06_MCD4	0.0100683197746739	0.0225132805394166	1.9970429995032	1.64756121684492
ELF1_Q6	B06_MCD4	0.0117938191415522	0.157518259805507	1.92834553642154	0.80266909474348
STAT5A_01	B06_MCD4	0.0171984579915343	0.521047778285432	1.76451049005691	0.283122451567377
BCL6B_TARGET_GENES	B06_MCD4	0.020366859057544	0.185679345942992	1.69107594199421	0.731236402355293
AML1_01	B06_MCD4	0.0317859767833484	0.253152060188036	1.49776443815518	0.596618533911527
IRF9_TARGET_GENES	B06_MCD4	0.0376652401068429	0.0872153354294026	1.42405925969975	1.05940714457664
TFEB_TARGET_GENES	B06_MCD4	0.0849550542382301	0.0552669495852147	1.07081077850797	1.257534505291
TGGAAA_NFAT_Q4_01	B06_MCD4	0.104526226394838	0.933855715929609	0.980774728217766	0.0297202186479399
NFE2L1_TARGET_GENES	B06_MCD4	0.117764617343003	0.732636296665313	0.928985174751864	0.135111569085383
MAFG_TARGET_GENES	B06_MCD4	0.129362565128098	0.0650081767698721	0.888191381398398	1.18703201408492
HOXA2_TARGET_GENES	B06_MCD4	0.150493904950135	0.273305395884907	0.822481088775292	0.563351793920559
NF1_Q6	B06_MCD4	0.155961536529881	0.510448799973403	0.806982494802586	0.292047812840853
ASH1L_TARGET_GENES	B06_MCD4	0.170347012291919	0.129579134696588	0.768665479099402	0.887464924512252
ZNF84_TARGET_GENES	B06_MCD4	0.180890714923922	0.0328487248330275	0.742583724797431	1.4834814848174
GATTGGY_NFY_Q6_01	B06_MCD4	0.217174787202065	0.066259807878849	0.663190595356655	1.17874982769458
PSMB5_TARGET_GENES	B06_MCD4	0.243320300813445	0.0925737580233731	0.61382165529666	1.03351210576746
PRDM4_TARGET_GENES	B06_MCD4	0.246400976271753	0.000113204865185189	0.608357575774677	3.9461349081506
