Description	subset	activity	state
Ribosome	A01_NaiB	9.34111419924848e-26	0.0897595032614728
Necroptosis	A01_NaiB	0.00158680757836618	0.00435451621500158
Bladder cancer	A01_NaiB	0.0408019452025386	0.0962812526202409
Tight junction	A01_NaiB	0.0514975080174323	0.651391734599219
Lysosome	A01_NaiB	0.125857433630923	0.0360918005813808
Apoptosis	A01_NaiB	0.133329708622662	0.122939321324705
Glioma	A01_NaiB	0.165331764751801	0.266186945737598
Cellular senescence	A01_NaiB	0.213863185657208	0.0424682153395051
Pathways in cancer	A01_NaiB	0.242174096522222	0.0988995615237824
p53 signaling pathway	A01_NaiB	0.279835026949064	0.0722625678865097
Homologous recombination	A01_NaiB	0.289843780221769	0.452544640571968
Acute myeloid leukemia	A01_NaiB	0.291531797906402	0.397345750351407
PD-L1 expression and PD-1 checkpoint pathway in cancer	A01_NaiB	0.313915796107538	0.273908402292393
Mitophagy - animal	A01_NaiB	0.343048025028193	0.145542942141776
Base excision repair	A01_NaiB	0.350579364765157	0.3623374202412
DNA replication	A01_NaiB	0.399926982658067	0.455656221567402
Cell cycle	A01_NaiB	0.451244253995682	0.6557611436052
Mismatch repair	A01_NaiB	0.45997144834389	0.535448294025753
Viral carcinogenesis	A01_NaiB	0.535568195169	0.192784753358119
Transcriptional misregulation in cancer	A01_NaiB	0.54977621465691	0.585834072195688
Thyroid cancer	A01_NaiB	0.559283576084281	0.507270546557743
Fanconi anemia pathway	A01_NaiB	0.628667155027268	0.253951371747345
Central carbon metabolism in cancer	A01_NaiB	0.664303060985394	0.0592469066507005
Regulation of actin cytoskeleton	A01_NaiB	0.66928780648454	0.0327680238797662
Apoptosis - multiple species	A01_NaiB	0.68383651086003	0.191126789202614
Phagosome	A01_NaiB	0.732169076893032	0.0795666219963976
Protein processing in endoplasmic reticulum	A01_NaiB	0.73942887470045	0.0106770901010011
Autophagy - animal	A01_NaiB	0.752808909402265	0.138063052120901
Endocytosis	A01_NaiB	0.799497934963135	0.304980547120204
Colorectal cancer	A01_NaiB	0.82170266488938	0.247482017387038
Protein export	A01_NaiB	0.93764760486769	0.59284880294763
Oocyte meiosis	A01_NaiB	0.957490462713296	0.96732639966583
Ribosome biogenesis in eukaryotes	A01_NaiB	0.970497753151138	0.829943865388017
Proteasome	A01_NaiB	0.973283809541259	5.93970090093583e-09
Chemical carcinogenesis - reactive oxygen species	A01_NaiB	0.987819028645019	1.83887165010411e-10
Spliceosome	A01_NaiB	0.990742756039373	0.911704315512399
Ribosome	A02_SwiMB	8.88472254673058e-23	0.505636827966974
Necroptosis	A02_SwiMB	0.156497102002405	0.252358217579714
Base excision repair	A02_SwiMB	0.175056624239696	0.931311496850028
Central carbon metabolism in cancer	A02_SwiMB	0.193194460419691	0.0669096578217653
Mismatch repair	A02_SwiMB	0.2191183993948	0.977933948618137
Protein processing in endoplasmic reticulum	A02_SwiMB	0.231444713805532	9.95826147689727e-07
Glioma	A02_SwiMB	0.253366544982508	0.383213408034011
p53 signaling pathway	A02_SwiMB	0.256867738956588	0.0485702003301328
Viral carcinogenesis	A02_SwiMB	0.308637993923932	0.0136809142128399
Bladder cancer	A02_SwiMB	0.356786867814125	0.100638115361015
Pathways in cancer	A02_SwiMB	0.414300541805276	0.293824893419926
Mitophagy - animal	A02_SwiMB	0.464884224734382	0.498063700107759
Protein export	A02_SwiMB	0.476290811099144	0.0637732602032825
Oocyte meiosis	A02_SwiMB	0.47800534225694	0.27938149532167
Endocytosis	A02_SwiMB	0.521662286483718	0.00205093775712241
Regulation of actin cytoskeleton	A02_SwiMB	0.53118776478279	0.293881228044847
Lysosome	A02_SwiMB	0.555804858380815	0.0203178000294627
Tight junction	A02_SwiMB	0.5687389167677	0.00267268487808942
DNA replication	A02_SwiMB	0.589023680559465	0.983379656018516
Colorectal cancer	A02_SwiMB	0.680727739054647	0.226329383103467
Transcriptional misregulation in cancer	A02_SwiMB	0.720434536732008	0.136924193294482
Thyroid cancer	A02_SwiMB	0.752458122111341	0.267328699667437
Fanconi anemia pathway	A02_SwiMB	0.781067776570895	0.801017154905329
Autophagy - animal	A02_SwiMB	0.81312139794591	0.167036382849604
Homologous recombination	A02_SwiMB	0.832462644805385	0.85208689690016
Cell cycle	A02_SwiMB	0.835328276209177	0.784457354362137
Apoptosis	A02_SwiMB	0.857674718564205	0.0084263205926345
Phagosome	A02_SwiMB	0.871199404840074	0.0697050362854195
Proteasome	A02_SwiMB	0.898221769654425	1.17594222222608e-15
PD-L1 expression and PD-1 checkpoint pathway in cancer	A02_SwiMB	0.901675867610494	0.335786745091286
Acute myeloid leukemia	A02_SwiMB	0.934125040677817	0.30249555412925
Cellular senescence	A02_SwiMB	0.970269548643745	0.00787528248464746
Apoptosis - multiple species	A02_SwiMB	0.971972118231268	0.0719156167558783
Ribosome biogenesis in eukaryotes	A02_SwiMB	0.989944569181109	0.993525213230971
Chemical carcinogenesis - reactive oxygen species	A02_SwiMB	0.996835232081752	1.07833805135108e-05
Spliceosome	A02_SwiMB	0.999701363686625	0.999572358513621
Ribosome	A03_UnswMB	1.99864397988937e-22	0.921301433085706
Necroptosis	A03_UnswMB	0.0280642982740604	0.469853427386476
Central carbon metabolism in cancer	A03_UnswMB	0.0691055448179096	0.464070898665245
Thyroid cancer	A03_UnswMB	0.184209495614402	0.657344852580454
Transcriptional misregulation in cancer	A03_UnswMB	0.186577631595258	0.917247841762904
Acute myeloid leukemia	A03_UnswMB	0.197699130818793	0.278329225828907
Apoptosis	A03_UnswMB	0.243299192905015	0.0816284556410493
p53 signaling pathway	A03_UnswMB	0.289670281948143	0.00122740475554788
PD-L1 expression and PD-1 checkpoint pathway in cancer	A03_UnswMB	0.291814644622562	0.660332909653958
Mismatch repair	A03_UnswMB	0.305986226403462	0.998424632038737
Glioma	A03_UnswMB	0.316498683407819	0.16814283703719
Pathways in cancer	A03_UnswMB	0.342459533158031	0.631821595757803
Bladder cancer	A03_UnswMB	0.385754631187237	0.438501443391396
Oocyte meiosis	A03_UnswMB	0.432716573354636	0.0621726632213329
Lysosome	A03_UnswMB	0.454765699597321	0.000881495770942313
Colorectal cancer	A03_UnswMB	0.576142375514611	0.534128002694503
DNA replication	A03_UnswMB	0.640160820670623	0.959932869006018
Endocytosis	A03_UnswMB	0.707793498079204	0.473710493215522
Tight junction	A03_UnswMB	0.711947224827587	0.385351043229351
Autophagy - animal	A03_UnswMB	0.74885918329467	0.024126377009825
Viral carcinogenesis	A03_UnswMB	0.796855374979264	0.151402557554127
Cellular senescence	A03_UnswMB	0.845886633743607	0.0345003826042453
Mitophagy - animal	A03_UnswMB	0.855306442393601	0.694097359224049
Cell cycle	A03_UnswMB	0.87721853403222	0.0221437161293306
Homologous recombination	A03_UnswMB	0.878530701691952	0.655933425557934
Phagosome	A03_UnswMB	0.902747406897933	0.374263243733368
Protein processing in endoplasmic reticulum	A03_UnswMB	0.910914667316801	7.7277766972683e-07
Regulation of actin cytoskeleton	A03_UnswMB	0.918517032212178	0.291826466940784
Fanconi anemia pathway	A03_UnswMB	0.929638787549195	0.897045370745256
Apoptosis - multiple species	A03_UnswMB	0.94031956300986	0.173288274192951
Base excision repair	A03_UnswMB	0.959595148441022	0.777570403721767
Proteasome	A03_UnswMB	0.986199364385409	7.01275146992576e-12
Ribosome biogenesis in eukaryotes	A03_UnswMB	0.990328101824484	0.774794557523369
Chemical carcinogenesis - reactive oxygen species	A03_UnswMB	0.997216472075744	4.54365668310814e-10
Spliceosome	A03_UnswMB	0.999233996311271	0.630324331093584
Ribosome	A04_DNB	1.93532974469008e-31	0.970455038580194
Bladder cancer	A04_DNB	0.0349476485096151	0.494233110079216
Necroptosis	A04_DNB	0.10479545140243	0.0378751124897715
Viral carcinogenesis	A04_DNB	0.174686027006477	0.35271586290704
Homologous recombination	A04_DNB	0.303351835532027	0.389854308351413
Pathways in cancer	A04_DNB	0.30659210674125	0.790306001154163
Mitophagy - animal	A04_DNB	0.328421419724289	0.731674085154027
p53 signaling pathway	A04_DNB	0.382055710016864	0.121038652172443
Lysosome	A04_DNB	0.405882369468745	0.228121312897172
Transcriptional misregulation in cancer	A04_DNB	0.414171250863661	0.614075066562756
Thyroid cancer	A04_DNB	0.440385909297765	0.44790079602864
Glioma	A04_DNB	0.452683854983038	0.391183939831569
Endocytosis	A04_DNB	0.51553737750188	0.32619137753279
Cell cycle	A04_DNB	0.523838338218545	0.0494984203243562
Autophagy - animal	A04_DNB	0.594041818946999	0.156836983124183
Central carbon metabolism in cancer	A04_DNB	0.596754062332707	0.114387803544162
Oocyte meiosis	A04_DNB	0.597559263793255	0.143715963032022
Apoptosis - multiple species	A04_DNB	0.639199926790739	0.154723353303936
Apoptosis	A04_DNB	0.809076289479565	0.073095055419
Tight junction	A04_DNB	0.809076289479565	0.461895359574553
PD-L1 expression and PD-1 checkpoint pathway in cancer	A04_DNB	0.834879125012585	0.202598149347718
Acute myeloid leukemia	A04_DNB	0.835938422119156	0.644219509952496
Fanconi anemia pathway	A04_DNB	0.85329294244518	0.300551379180952
Cellular senescence	A04_DNB	0.898263140794926	0.000967821706372709
Phagosome	A04_DNB	0.905802121226534	0.173037333682475
Base excision repair	A04_DNB	0.919778127308606	0.44790079602864
