Description	subset	activity	state
Citrate cycle (TCA cycle)	A01_NaiB	0.03345864434387	0.223050203623715
Biosynthesis of amino acids	A01_NaiB	0.0672820524619922	0.0224508455870185
Carbon metabolism	A01_NaiB	0.103991124052711	0.00412890213121959
Metabolic pathways	A01_NaiB	0.146814352878641	0.00102217828505935
Terpenoid backbone biosynthesis	A01_NaiB	0.155423742301149	0.0879404563677154
Glyoxylate and dicarboxylate metabolism	A01_NaiB	0.165650630633264	0.0307632331085017
Glycolysis / Gluconeogenesis	A01_NaiB	0.185111993154437	0.00082224688587559
Steroid biosynthesis	A01_NaiB	0.675849836440932	0.0180471073027132
Ubiquinone and other terpenoid-quinone biosynthesis	A01_NaiB	0.716299812137603	0.408351337326557
Oxidative phosphorylation	A01_NaiB	0.932609717037396	1.24600790221062e-14
Biosynthesis of amino acids	A02_SwiMB	0.00157441226354285	0.0783707752762343
Glycolysis / Gluconeogenesis	A02_SwiMB	0.00195829107599928	0.0017192846644873
Glyoxylate and dicarboxylate metabolism	A02_SwiMB	0.005497789821148	0.130615065702264
Carbon metabolism	A02_SwiMB	0.00667977329402683	0.0816987349849944
Pentose phosphate pathway	A02_SwiMB	0.136048811583349	0.547695710650816
Metabolic pathways	A02_SwiMB	0.172751040019961	0.132034336844935
Citrate cycle (TCA cycle)	A02_SwiMB	0.195413319865991	0.0436814298664751
Terpenoid backbone biosynthesis	A02_SwiMB	0.346553929526103	0.000952955870548193
Steroid biosynthesis	A02_SwiMB	0.663255355944381	0.0071597437459116
Ubiquinone and other terpenoid-quinone biosynthesis	A02_SwiMB	0.70778912196544	0.454097943842785
Oxidative phosphorylation	A02_SwiMB	0.984412853229458	1.85035496653595e-09
Biosynthesis of amino acids	A03_UnswMB	0.00166786851962768	0.303026829449082
Glyoxylate and dicarboxylate metabolism	A03_UnswMB	0.00605065287244109	0.0468916842227374
Carbon metabolism	A03_UnswMB	0.0314744922148078	0.0425152575897281
Glycolysis / Gluconeogenesis	A03_UnswMB	0.138347617718652	0.115777595706976
Metabolic pathways	A03_UnswMB	0.157788603387291	0.000209682201433348
Citrate cycle (TCA cycle)	A03_UnswMB	0.235317340338111	0.0465168970547234
Steroid biosynthesis	A03_UnswMB	0.253788699152197	0.563090337007978
Terpenoid backbone biosynthesis	A03_UnswMB	0.505588988798088	0.0733627303888943
Ubiquinone and other terpenoid-quinone biosynthesis	A03_UnswMB	0.62098262988976	0.402902817033644
Pentose phosphate pathway	A03_UnswMB	0.902861189043266	0.256907942896591
