Signature	Cell type	EAS coefficient	EAS SE	EUR coefficient	EUR SE	Meta effectsize	Meta SE	Meta Pvalue	Bonferonni-corrected P
HC-SEG	Naive CD4	-0.57	0.34	-0.69	0.42	-0.62	0.27	0.99	  1
HC-SEG	Mem CD4	-0.02	0.44	0.29	0.43	0.14	0.3	0.33	  1
HC-SEG	Th1	0.24	0.41	0.48	0.45	0.35	0.3	0.12	  1
HC-SEG	Th2	0.51	0.49	0.34	0.42	0.41	0.32	0.099	  1
HC-SEG	Th17	-0.41	0.39	-0.044	0.43	-0.25	0.29	0.81	  1
HC-SEG	Tfh	-0.36	0.42	-0.01	0.43	-0.19	0.3	0.73	  1
HC-SEG	Fr. I nTreg	-0.31	0.38	-0.48	0.48	-0.37	0.3	0.89	  1
HC-SEG	Fr. II eTreg	0.29	0.44	0.45	0.42	0.38	0.31	0.11	  1
HC-SEG	Fr. III T	-0.067	0.42	0.58	0.45	0.23	0.31	0.22	  1
HC-SEG	Naive CD8	-0.72	0.39	-0.83	0.45	-0.77	0.29	  1	  1
HC-SEG	CM CD8	0.28	0.42	0.3	0.45	0.29	0.31	0.18	  1
HC-SEG	EM CD8	-0.13	0.41	0.71	0.51	0.21	0.32	0.26	  1
HC-SEG	TEMRA CD8	0.28	0.4	0.88	0.54	0.49	0.32	0.063	  1
HC-SEG	NK	-0.17	0.39	0.46	0.47	0.091	0.3	0.38	  1
HC-SEG	Naive B	0.34	0.55	0.46	0.54	0.4	0.39	0.15	  1
HC-SEG	USM B	0.44	0.48	0.85	0.73	0.57	0.4	0.08	  1
HC-SEG	SM B	0.71	0.5	0.95	0.73	0.79	0.41	0.028	  1
HC-SEG	DN B	0.44	0.51	0.61	0.61	0.51	0.39	0.097	  1
HC-SEG	Plasmablast	0.27	0.49	0.65	0.44	0.48	0.33	0.07	  1
HC-SEG	CL Mono	0.32	0.44	-0.11	0.42	0.095	0.3	0.38	  1
HC-SEG	CD16p Mono	0.03	0.46	-0.45	0.4	-0.24	0.3	0.79	  1
HC-SEG	Int Mono	-0.085	0.45	-0.39	0.39	-0.26	0.29	0.81	  1
HC-SEG	NC Mono	0.043	0.44	-0.18	0.45	-0.07	0.31	0.59	  1
HC-SEG	mDC	-0.28	0.42	-0.023	0.51	-0.18	0.32	0.71	  1
HC-SEG	pDC	0.56	0.6	0.18	0.48	0.33	0.37	0.19	  1
HC-SEG	Neu	0.19	0.44	-0.035	0.51	0.092	0.33	0.39	  1
HC-SEG	LDG	0.17	0.45	0.042	0.49	0.11	0.33	0.37	  1
Disease-state	Naive CD4	0.96	0.59	0.92	0.56	0.94	0.4	0.01	0.82
Disease-state	Mem CD4	0.8	0.6	1.3	0.49	1.1	0.38	0.0018	0.15
Disease-state	Th1	  1	0.6	1.7	0.53	1.4	0.4	0.00022	0.018
Disease-state	Th2	0.97	0.51	1.7	0.49	1.4	0.35	4.7e-05	0.0038
Disease-state	Th17	0.43	0.44	0.9	0.52	0.62	0.34	0.031	  1
Disease-state	Tfh	0.44	0.42	1.3	0.49	0.8	0.32	0.0064	0.52
Disease-state	Fr. I nTreg	0.89	0.56	1.2	0.5	1.1	0.37	0.0019	0.15
Disease-state	Fr. II eTreg	0.64	0.57	1.5	0.48	1.1	0.37	0.0013	0.1
Disease-state	Fr. III T	0.14	0.39	0.13	0.47	0.14	0.3	0.32	  1
Disease-state	Naive CD8	  1	0.55	1.1	0.47	1.1	0.36	0.0014	0.11
Disease-state	CM CD8	1.8	0.63	1.2	0.51	1.5	0.39	0.0001	0.0084
Disease-state	EM CD8	1.2	0.59	1.1	0.56	1.1	0.41	0.0028	0.23
Disease-state	TEMRA CD8	0.54	0.56	1.3	0.56	0.91	0.39	0.01	0.81
Disease-state	NK	1.6	0.67	1.1	0.55	1.3	0.42	0.0008	0.064
Disease-state	Naive B	1.7	0.68	1.8	0.65	1.8	0.47	8.1e-05	0.0066
Disease-state	USM B	1.1	0.57	1.6	0.62	1.3	0.42	0.00087	0.07
Disease-state	SM B	1.6	0.62	1.2	0.5	1.3	0.39	0.00025	0.02
Disease-state	DN B	1.2	0.57	1.4	0.47	1.3	0.36	0.00016	0.013
Disease-state	Plasmablast	0.73	0.54	0.24	0.54	0.48	0.38	0.1	  1
Disease-state	CL Mono	0.94	0.57	0.99	0.43	0.97	0.34	0.0021	0.17
Disease-state	CD16p Mono	1.7	0.66	1.2	0.46	1.4	0.38	0.00012	0.0094
Disease-state	Int Mono	1.5	0.62	1.2	0.51	1.3	0.4	0.0004	0.032
Disease-state	NC Mono	1.6	0.64	1.1	0.47	1.3	0.38	0.00033	0.026
Disease-state	mDC	0.3	0.49	0.39	0.44	0.35	0.33	0.14	  1
Disease-state	pDC	0.68	0.55	0.62	0.49	0.65	0.37	0.038	  1
Disease-state	Neu	0.85	0.49	0.23	0.52	0.57	0.36	0.056	  1
Disease-state	LDG	1.5	0.6	0.68	0.53	  1	0.4	0.0047	0.38
Disease-activity	Naive CD4	-0.1	0.35	-0.18	0.44	-0.13	0.27	0.69	  1
Disease-activity	Mem CD4	0.46	0.43	0.16	0.5	0.33	0.33	0.16	  1
Disease-activity	Th1	-0.064	0.33	0.52	0.43	0.15	0.26	0.28	  1
Disease-activity	Th2	-0.17	0.36	  1	0.44	0.31	0.28	0.13	  1
Disease-activity	Th17	-0.1	0.35	0.57	0.52	0.1	0.29	0.36	  1
Disease-activity	Tfh	-0.25	0.36	1.3	0.43	0.39	0.28	0.079	  1
Disease-activity	Fr. I nTreg	-0.094	0.41	0.46	0.46	0.15	0.3	0.31	  1
Disease-activity	Fr. II eTreg	-0.021	0.37	0.13	0.41	0.046	0.28	0.43	  1
Disease-activity	Fr. III T	0.14	0.41	0.78	0.44	0.44	0.3	0.071	  1
Disease-activity	Naive CD8	-0.0049	0.38	0.079	0.47	0.029	0.3	0.46	  1
Disease-activity	CM CD8	0.72	0.5	0.81	0.5	0.77	0.36	0.016	  1
Disease-activity	EM CD8	0.3	0.38	0.42	0.42	0.36	0.28	0.11	  1
Disease-activity	TEMRA CD8	0.0015	0.32	-0.31	0.4	-0.12	0.25	0.68	  1
Disease-activity	NK	0.033	0.32	0.06	0.38	0.044	0.24	0.43	  1
Disease-activity	Naive B	-0.1	0.42	0.04	0.45	-0.036	0.31	0.55	  1
Disease-activity	USM B	0.13	0.45	0.81	0.47	0.45	0.32	0.081	  1
Disease-activity	SM B	-0.023	0.4	0.32	0.4	0.15	0.28	0.3	  1
Disease-activity	DN B	0.032	0.43	0.15	0.38	0.096	0.28	0.37	  1
Disease-activity	Plasmablast	0.17	0.36	0.19	0.48	0.18	0.29	0.27	  1
Disease-activity	CL Mono	0.47	0.42	0.29	0.46	0.39	0.31	0.11	  1
Disease-activity	CD16p Mono	1.1	0.49	1.1	0.5	1.1	0.35	0.00092	0.074
Disease-activity	Int Mono	0.73	0.47	0.32	0.46	0.52	0.33	0.058	  1
Disease-activity	NC Mono	1.3	0.48	0.58	0.47	0.93	0.33	0.0026	0.21
Disease-activity	mDC	0.55	0.46	0.22	0.5	0.4	0.34	0.12	  1
Disease-activity	pDC	0.48	0.42	-0.18	0.51	0.21	0.33	0.26	  1
Disease-activity	Neu	0.32	0.53	0.39	0.52	0.36	0.37	0.17	  1
Disease-activity	LDG	0.69	0.48	0.11	0.53	0.43	0.36	0.11	  1
