subset	Constitutional	Mucocutaneous	Musculoskeletal	Renal	Extrarenal	Hematological	Serological	PSL	HCQ	MMF	TAC	Sex	Age
A01_NaiB	0.00842176028173178	0.00898797239258396	0.00782819656133865	0.01965642924247	0.0182416103666435	0.00931930701656843	0.00356873418191442	0.0199098465932654	0.00135929695386566	0.00238233835271732	0.00532080124892199	0.00247614049657548	0.0123667803172743
A02_SwiMB	0.0121858847184193	0.0140541189786757	0.0246069567210887	0.0144103673104516	0.000229565809405059	0.020439779451885	0.0124760538152996	0.015609849796743	0.0128862649372377	0.0154420015265415	0.0092263181757765	2.47897885282879e-06	0.0124412995735166
A03_UnswMB	0.00265925921244279	0.00998826433345118	0.00496929962359346	0.0036249039458571	0.0175665092630879	0.00647789554158956	0.00836089742149996	0.0139804919079012	0.000386147796088457	0.00922550726340467	0.000984788991941724	2.26729144027396e-10	0.00752544560769963
A04_DNB	0.00580761149581254	0.0070976512270045	0.01083507802524	0.0117756141085998	0.00342871717434072	0.00674730938840111	0.00299923638950774	0.023547409541012	0.00997050890635556	0.00785892883975239	0.0165381256611329	0.00260417518065086	0.00640258982467223
A05_PB	2.08572741685773e-08	0.0210128620881523	0.0526188844585239	0.0407543427683303	0.000226146745955212	0.0326300437296523	0.0107009002299244	0.00801220958170307	1.13366527377247e-08	0.125157899172292	0.00996674436961654	9.66277192913966e-05	0.00971866962228471
B01_Th1	0.0388675392902223	0.0516559543107308	0.0226791143043657	0.0426624166385777	1.95740764723463e-10	0.00787096168297036	0.012371540868377	0.00264144072114537	0.0393151202413856	0.0819829045846752	0.0029068002960338	0.038407704647512	0.0131412921320292
B02_Th2	0.0173737315664328	0.0217806253560535	0.0106643874866658	0.0251893858355368	0.00874401740813041	0.00241626765897293	0.0128130432448657	0.00720954994945427	0.00445571299802585	0.0295817956692346	0.00203192891360999	0.00280607047850716	0.0189798191471497
B03_TH17	0.0141418578415122	0.0226783808280308	0.0113667946913883	0.0222035676922739	0.0128246432127626	0.0121987669575229	0.0112655595432769	0.00439136607360115	0.0111958434640309	0.00452644954639914	0.00536648652952729	0.00888225828053677	0.00704158923808115
B04_Tfh	0.0141838167603767	0.0287832697424245	0.0174110205654409	0.0163624177222021	0.0121789789992304	0.014216465974579	0.0231094233003705	0.0114957453223304	0.000500530155197854	0.00906428704481624	0.0031790855040646	0.00661213301040022	0.0169352088932827
B05_NCD4	0.0142971791805116	0.0195751002280043	0.0134585457080825	0.0101908741307126	5.24907714370458e-06	0.00304211720787951	0.0131679928586929	0.0124180023032877	0.00276528089794891	0.00114059767588161	0.00595534404936732	0.0207756284290126	0.0429498118157529
B06_MCD4	0.0217927214494195	0.0217579496755329	0.0109740810346594	0.0332924529133466	0.0105333713173751	0.0010540286349226	0.00778245299746536	0.0122236899606271	0.0173005272347872	0.0179952604202966	0.00173153947267054	0.0350029571680098	0.0258353070736261
B07_aTreg	0.0126913399767822	0.0150838169581939	0.00805829392192264	0.0274237846475015	0.00954576250457322	0.0102451625324999	0.0160916063766062	0.0160969520746726	0.0270674726653529	0	0.0235056661311638	0.00561800021795358	0.00869523277794985
B09_Fra1	0.0187197427732258	0.017931799605438	0.0158725281991483	0.0248242347555514	0.00336395364917338	0.0141851381774869	0.00539283665528746	0.0172141471879692	0.0110419479253672	0.00203222218351355	0.029888831749992	0.0115466375850148	0.0346119929892228
B10_Fra3	0.0242113989767076	0.00732931845350512	0.0128579080808356	0.0215822055293272	0.0094492399467152	0.00486892514850015	0.00827005625485102	0.0399210568268238	0.0236015726395911	0.00191261836691015	0.0709440183529545	3.16880453579893e-05	0.00998897441432268
C01_NCD8	0.0166840751739762	0.0261903490167509	0.0176107642806887	0.0201766565109948	0.00377212205820258	0.00745495453731822	0.0212508241794764	0.026544185405213	0.00205008653841329	0.00181529810191549	0.00222559928931183	0.0166423834625062	0.036907026426299
C03_EffectorCD8	0.0177447811935014	0.0316438129103244	0.039591275930311	0.02387301868843	0.0124573419729526	0.0412997200399968	0.00645089632224192	0.00946291263085189	0.000460343099264579	0.00545195987102937	0.00527273011349457	9.08941610401974e-10	0.0104473588371227
C04_CmCD8	0.0101476315663606	0.0251723383196501	0.00745986896834422	0.0307697763392352	0.00938059780741204	0.00174454956451759	0.00678249012521051	0.00507873270615417	0	0.0723775614757864	0.000232965276013108	3.1161948374484e-09	0.0511611088498904
C05_EmCD8	0.00270022779409897	0.0365921068609324	0.0452154034061425	0.0300083602659525	0.0208448064043353	0.00628858663207032	0.0143803051194503	0.00156605016456479	0.0435219971085429	0.0350114256965835	0.0110668166971399	3.31632991218966e-09	0.0330257148273445
D01_mDC	0.0240864280372797	0.0124733355180235	0.0360776795590167	0.0296331830153612	0.0231581076645269	0.0315985544190271	0.00370624387202912	0.0105878483267049	0.00072209567436469	0.00225380648591148	0.00325815059440556	0.0051789638453266	0.0059406440859601
D02_pDC	0.0343417171238118	0.01557327630589	0.0224720134339099	0.0171055961752205	0.0411829267866656	0.00560306364902689	0.0033928470979484	0.0184689688048969	0.0116318686476955	0.00820386906786647	0.0058072161039426	0.0333030317504798	0.00606452319974672
E01_CD16pMo	0.0205642920316396	0.0347222133604145	0.0598866235176516	0.0428812635636446	0.0372558406407149	0.0180411268356047	0.00936023684281745	0.0263748288864017	9.50650938975446e-11	0.00249363807244447	0.0092555676179658	2.7422182993638e-09	0.00864463664625559
E02_CD16nMo	0.0314235205303652	0.0212375652496986	0.0628911119928987	0.0537372783071861	0.0151090695502963	0.0257302892263686	0.0127875618325504	0.0103140730511099	0.00449770890986695	0.000490504183291391	0.00588820153172901	5.41395325136906e-10	0.00586709895133242
E03_NonClassical	0.0136016953492491	0.0457137945230042	0.0331404837594347	0.0434821702159199	0.0428745477758765	0.0100006827418123	0.0012903591318313	0.0197799753482024	4.69198349826323e-11	1.8498878215772e-09	0.00994646482061842	0.0167919887468426	0.00295361772424087
E04_Intermediate	0.034378970802842	0.0228519830762041	0.044914056375808	0.0472436678020392	0.0242643172527294	0.0200204680242197	0.00310304364014135	0.0127398976111932	2.57492808946172e-11	0.00170063624392083	0.013809948730526	1.11148289683542e-09	0.00178794074101138
F01_Neu	0.0271812840597442	0.0317863195646	0.0347109716442723	0.0680987170388249	0.036081020188588	0.0291451574875912	0.00239341968466212	0.0253610984752843	0.00592005037649513	0.00690012494669035	0.00489191341595933	0.00320616480428921	0.0113240079175263
F02_LDG	0.0133305139912613	0.0169245330431281	0.034226245675694	0.0696358959764293	0.00347423390785539	0.0462775720710232	0.00556210106245491	0.0382128212856669	6.58183929265223e-09	0.00531144778241508	0.00270640730831525	6.01731550519173e-11	0.022614549962019
G01_NK	0.0534428590776005	0.0225534271006606	0.0355884777391767	0.0284886736686134	0.00528020704982908	0.0766108304576939	0.0157130806261835	0.00779646178288724	0.00539151131914506	0.00760059800376117	0.0168538243298935	0.00180588116949298	0.0129938663560643
