subset	Activity	PSL	Immunosuppressant	Age	Sex
A04_DNB	0.0231622077442266	0.02464472689558	0.0456433049416246	0.00780555099913511	4.85147707038729e-12
A03_UnswMB	0.0300642976415643	0.0132633129634041	0.00440341168893658	0.00864784703386532	2.3488978851767e-09
B02_Th2	0.0390387232526994	0.0107241469753602	0.00909559935267375	0.0174676862886837	0.000771834457663847
C04_CmCD8	0.0406332585207489	0.00592895011744709	0.0753845715148971	0.0503461274324851	8.52815079071451e-10
B09_Fra1	0.0409166004704511	0.0187751375707592	0.0304116460125254	0.0302240191091431	0.00584974748639833
A02_SwiMB	0.04333120346572	0.0188051140118679	0.0212454689671411	0.0128144490676848	3.00755164501705e-07
A01_NaiB	0.0434865369307296	0.0200606558170917	0.00873822415928455	0.0119622289077018	4.95476525191804e-09
B05_NCD4	0.0441643000331384	0.0178050427599951	0.00963880915343183	0.04332283808152	0.0170721698484892
B03_TH17	0.0445550439601438	0.00594182896229254	0.0098490688256638	0.011445120361307	0
B10_Fra3	0.045700956365515	0.0399003108658701	0.0861368006326213	0.0120215653558142	1.28891501998168e-09
B07_aTreg	0.0457588853885095	0.0165452855232895	0.0252222994730048	0.00947205831702005	2.66294881837249e-09
C01_NCD8	0.0578801679919803	0.0390922002745951	0.00294148425872001	0.0315247912516121	0.0100689449680809
B04_Tfh	0.059854291889469	0.0138547330213043	0.000361709065691184	0.0176729517511436	5.41115840273011e-11
D02_pDC	0.0607129746400153	0.0185755984262449	0.0228301340293943	0.00931954103672066	0.0143664816013236
B06_MCD4	0.0670675632256315	0.0116059462332646	0.0409423377361224	0.0324311990962649	0.0178622657694574
D01_mDC	0.0694359584244176	0.0144786757674125	0	0.00766155903802108	0.0028949747855231
G01_NK	0.090426005628794	0.00857884862747401	0.0303412235764082	0.0180547621652021	0.00218684024003286
E03_NonClassical	0.0923955436277098	0.0237040802665067	0	0.00422483404653999	0.0128963154372135
E04_Intermediate	0.0936907101803543	0.0170518026041996	0.00289542985863154	0.00348203466117498	2.35648068533612e-05
C03_EffectorCD8	0.0962682106366673	0.0105531043688662	0.0037349068634875	0.0137041701204708	2.96996295881833e-11
A05_PB	0.0969118226646683	0.0084783635571795	0.125685228687058	0.00970568163126496	3.2565155974197e-09
F02_LDG	0.107873233126269	0.0269265572774967	0	0.0171761349280527	2.14545312898427e-11
C05_EmCD8	0.10809194431165	0.00309605581612856	0.063949014301697	0.0374868437115659	5.49365533351694e-11
B01_Th1	0.121971612690504	0.00471539368854166	0.0763056043068473	0.0156802656852318	0.016296364186522
F01_Neu	0.150773832672496	0.030121495007119	0.0060888538070585	0.00913679240546684	1.42576141246428e-10
E01_CD16pMo	0.157911785336877	0.0282293083035212	5.26061501952144e-05	0.0114351223492471	8.72048952802062e-11
E02_CD16nMo	0.16758391689179	0.0110893682759148	3.7257377258747e-17	0.00702590691827921	1.44632904134427e-10
